node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,0,16,17
0,1,f5,hdiff,0,0,16,17
0,1,f5,hi,0,0,16,17
0,1,f5,hlength,0,0,16,17
0,1,f5,hmax,0,0,16,17
0,1,f5,hnba,0,0,27,17
0,1,f1,hg,0,0,16,17
0,1,f1,hdiff,0,0,16,17
0,1,f2,hg,0,0,27,28
0,1,f2,hdiff,0,0,27,28
0,1,f2,hi,0,0,16,17
0,1,f2,hlength,0,0,27,28
0,1,f2,hmax,0,0,16,17
0,1,f2,hnba,1,0,27,39
0,1,f4,hg,0,0,27,28
0,1,f4,hdiff,0,0,27,28
0,1,f4,hi,0,0,16,17
0,1,f4,hlength,0,0,27,28
0,1,f4,hmax,0,0,16,17
0,1,f4,hnba,0,0,49,50
0,1,f3,hg,0,0,27,28
0,1,f3,hdiff,0,0,27,28
0,1,f3,hi,0,0,16,17
0,1,f3,hlength,0,0,27,28
0,1,f3,hmax,1,0,27,39
0,1,f3,hnba,0,0,38,28
0,1,f6,hg,0,0,27,28
0,1,f6,hdiff,0,0,27,28
0,1,f6,hi,0,0,16,17
0,1,f6,hlength,0,0,27,28
0,1,f6,hmax,0,0,16,17
0,1,f6,hnba,1,0,38,61
1,1,f5,hg,0,0,16,17
1,1,f5,hdiff,0,0,16,17
1,1,f5,hi,0,0,16,17
1,1,f5,hlength,0,0,16,17
1,1,f5,hmax,0,0,16,17
1,1,f5,hnba,0,0,16,17
1,1,f1,hg,0,0,16,17
1,1,f1,hdiff,0,0,16,17
1,1,f2,hg,1,0,16,28
1,1,f2,hdiff,1,0,16,28
1,1,f2,hi,0,0,16,17
1,1,f2,hlength,1,0,16,28
1,1,f2,hmax,0,0,16,17
1,1,f2,hnba,1,0,27,39
1,1,f4,hg,1,0,16,28
1,1,f4,hdiff,1,0,16,28
1,1,f4,hi,0,0,16,17
1,1,f4,hlength,1,0,16,28
1,1,f4,hmax,0,0,16,17
1,1,f4,hnba,1,0,38,50
1,1,f3,hg,1,0,16,28
1,1,f3,hdiff,1,0,16,28
1,1,f3,hi,0,0,27,17
1,1,f3,hlength,1,0,16,28
1,1,f3,hmax,1,0,16,39
1,1,f3,hnba,0,0,27,28
1,1,f6,hg,1,0,16,28
1,1,f6,hdiff,1,0,16,28
1,1,f6,hi,0,0,16,17
1,1,f6,hlength,1,0,16,28
1,1,f6,hmax,0,0,16,17
1,1,f6,hnba,1,0,27,61
2,1,f5,hg,0,1,0,17
2,1,f5,hdiff,0,1,0,17
2,1,f5,hi,0,1,0,17
2,1,f5,hlength,0,1,0,17
2,1,f5,hmax,0,1,0,17
2,1,f5,hnba,0,1,0,17
2,1,f1,hg,0,1,0,17
2,1,f1,hdiff,0,1,0,17
2,1,f2,hg,0,1,0,28
2,1,f2,hdiff,0,1,0,28
2,1,f2,hi,0,1,0,17
2,1,f2,hlength,0,1,0,28
2,1,f2,hmax,0,1,0,17
2,1,f2,hnba,0,1,0,39
2,1,f4,hg,0,1,0,28
2,1,f4,hdiff,0,1,0,28
2,1,f4,hi,0,1,0,17
2,1,f4,hlength,0,1,0,28
2,1,f4,hmax,0,1,0,17
2,1,f4,hnba,0,1,0,50
2,1,f3,hg,0,1,0,28
2,1,f3,hdiff,0,1,0,28
2,1,f3,hi,0,1,0,17
2,1,f3,hlength,0,1,0,28
2,1,f3,hmax,0,1,0,39
2,1,f3,hnba,0,1,0,28
2,1,f6,hg,0,1,0,28
2,1,f6,hdiff,0,1,0,28
2,1,f6,hi,0,1,0,17
2,1,f6,hlength,0,1,0,28
2,1,f6,hmax,0,1,0,17
2,1,f6,hnba,0,1,0,61
3,1,f5,hg,0,1,0,17
3,1,f5,hdiff,0,1,0,17
3,1,f5,hi,0,1,0,17
3,1,f5,hlength,0,1,0,17
3,1,f5,hmax,0,1,0,17
3,1,f5,hnba,0,1,0,17
3,1,f1,hg,0,1,0,17
3,1,f1,hdiff,0,1,0,17
3,1,f2,hg,0,1,0,28
3,1,f2,hdiff,0,1,0,28
3,1,f2,hi,0,1,0,17
3,1,f2,hlength,0,1,0,28
3,1,f2,hmax,0,1,0,17
3,1,f2,hnba,0,1,0,39
3,1,f4,hg,0,1,0,28
3,1,f4,hdiff,0,1,0,28
3,1,f4,hi,0,1,0,17
3,1,f4,hlength,0,1,0,28
3,1,f4,hmax,0,1,0,17
3,1,f4,hnba,0,1,0,50
3,1,f3,hg,0,1,0,28
3,1,f3,hdiff,0,1,0,28
3,1,f3,hi,0,1,0,17
3,1,f3,hlength,0,1,0,28
3,1,f3,hmax,0,1,0,39
3,1,f3,hnba,0,1,0,28
3,1,f6,hg,0,1,0,28
3,1,f6,hdiff,0,1,0,28
3,1,f6,hi,0,1,0,17
3,1,f6,hlength,0,1,0,28
3,1,f6,hmax,0,1,0,17
3,1,f6,hnba,0,1,0,61
4,2,f5,hg,0,0,26,17
4,2,f5,hdiff,0,0,26,17
4,2,f5,hi,0,0,15,17
4,2,f5,hlength,0,0,26,17
4,2,f5,hmax,0,0,15,17
4,2,f5,hnba,0,0,26,17
4,2,f1,hg,0,0,15,17
4,2,f1,hdiff,0,0,15,17
4,2,f2,hg,0,0,26,28
4,2,f2,hdiff,0,0,26,28
4,2,f2,hi,0,0,15,17
4,2,f2,hlength,0,0,26,28
4,2,f2,hmax,0,0,15,17
4,2,f2,hnba,1,0,26,39
4,2,f4,hg,0,0,26,28
4,2,f4,hdiff,0,0,26,28
4,2,f4,hi,0,0,15,17
4,2,f4,hlength,0,0,26,28
4,2,f4,hmax,0,0,15,17
4,2,f4,hnba,0,0,48,50
4,2,f3,hg,1,0,15,28
4,2,f3,hdiff,0,0,26,28
4,2,f3,hi,0,0,15,17
4,2,f3,hlength,0,0,26,28
4,2,f3,hmax,1,0,15,39
4,2,f3,hnba,0,0,37,28
4,2,f6,hg,0,0,26,28
4,2,f6,hdiff,0,0,26,28
4,2,f6,hi,0,0,15,17
4,2,f6,hlength,0,0,26,28
4,2,f6,hmax,0,0,15,17
4,2,f6,hnba,1,0,37,61
5,2,f5,hg,0,0,15,17
5,2,f5,hdiff,0,0,15,17
5,2,f5,hi,0,0,15,17
5,2,f5,hlength,0,0,15,17
5,2,f5,hmax,0,0,15,17
5,2,f5,hnba,0,0,15,17
5,2,f1,hg,0,0,15,17
