node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,0,7,6
0,1,f5,hdiff,0,0,7,6
0,1,f5,hi,0,0,7,6
0,1,f5,hlength,1,0,7,18
0,1,f5,hmax,0,0,7,6
0,1,f5,hnba,0,0,15,10
0,1,f1,hg,0,0,7,6
0,1,f1,hdiff,0,0,7,6
0,1,f2,hg,0,0,13,6
0,1,f2,hdiff,1,0,7,14
0,1,f2,hi,0,0,13,6
0,1,f2,hlength,1,0,15,18
0,1,f2,hmax,0,0,7,6
0,1,f2,hnba,0,0,15,16
0,1,f4,hg,0,0,35,26
0,1,f4,hdiff,0,0,23,24
0,1,f4,hi,0,0,35,6
0,1,f4,hlength,0,0,37,24
0,1,f4,hmax,0,0,31,30
0,1,f4,hnba,0,0,37,36
0,1,f3,hg,1,0,7,10
0,1,f3,hdiff,0,0,15,16
0,1,f3,hi,1,0,23,32
0,1,f3,hlength,0,0,11,10
0,1,f3,hmax,0,0,17,16
0,1,f3,hnba,0,0,15,16
0,1,f6,hg,0,0,23,6
0,1,f6,hdiff,0,0,23,6
0,1,f6,hi,0,0,27,12
0,1,f6,hlength,0,0,29,28
0,1,f6,hmax,1,0,7,10
0,1,f6,hnba,0,0,27,18
1,1,f5,hg,0,0,7,6
1,1,f5,hdiff,0,0,7,6
1,1,f5,hi,0,0,7,6
1,1,f5,hlength,1,0,7,18
1,1,f5,hmax,0,0,7,6
1,1,f5,hnba,0,0,11,10
1,1,f1,hg,0,0,7,6
1,1,f1,hdiff,0,0,7,6
1,1,f2,hg,0,0,7,6
1,1,f2,hdiff,1,0,7,14
1,1,f2,hi,0,0,7,6
1,1,f2,hlength,1,0,7,18
1,1,f2,hmax,0,0,7,6
1,1,f2,hnba,0,0,15,16
1,1,f4,hg,0,0,35,26
1,1,f4,hdiff,0,0,25,24
1,1,f4,hi,0,0,19,6
1,1,f4,hlength,0,0,37,24
1,1,f4,hmax,0,0,31,30
1,1,f4,hnba,0,0,37,36
1,1,f3,hg,1,0,7,10
1,1,f3,hdiff,1,0,11,16
1,1,f3,hi,1,0,21,32
1,1,f3,hlength,0,0,11,10
1,1,f3,hmax,0,0,15,16
1,1,f3,hnba,0,0,15,16
1,1,f6,hg,0,0,27,6
1,1,f6,hdiff,0,0,15,6
1,1,f6,hi,0,0,19,12
1,1,f6,hlength,0,0,37,28
1,1,f6,hmax,1,0,7,10
1,1,f6,hnba,0,0,21,18
2,1,f5,hg,0,0,5,6
2,1,f5,hdiff,0,0,5,6
2,1,f5,hi,0,0,9,6
2,1,f5,hlength,0,0,19,18
2,1,f5,hmax,0,0,5,6
2,1,f5,hnba,0,0,9,10
2,1,f1,hg,0,0,5,6
2,1,f1,hdiff,0,0,5,6
2,1,f2,hg,0,0,5,6
2,1,f2,hdiff,1,0,5,14
2,1,f2,hi,0,0,5,6
2,1,f2,hlength,0,0,25,18
2,1,f2,hmax,0,0,5,6
2,1,f2,hnba,0,0,17,16
2,1,f4,hg,1,0,19,26
2,1,f4,hdiff,1,0,19,24
2,1,f4,hi,0,0,19,6
2,1,f4,hlength,0,0,31,24
2,1,f4,hmax,0,0,29,30
2,1,f4,hnba,1,0,23,36
2,1,f3,hg,0,0,9,10
2,1,f3,hdiff,1,0,9,16
2,1,f3,hi,1,0,5,32
2,1,f3,hlength,0,0,9,10
2,1,f3,hmax,0,0,17,16
2,1,f3,hnba,0,0,17,16
2,1,f6,hg,0,0,19,6
2,1,f6,hdiff,0,0,19,6
2,1,f6,hi,0,0,15,12
2,1,f6,hlength,1,0,21,28
2,1,f6,hmax,0,0,9,10
2,1,f6,hnba,0,0,21,18
3,2,f5,hg,0,0,14,6
3,2,f5,hdiff,0,0,8,6
3,2,f5,hi,0,0,8,6
3,2,f5,hlength,0,0,20,18
3,2,f5,hmax,0,0,8,6
3,2,f5,hnba,0,0,12,10
3,2,f1,hg,0,0,8,6
3,2,f1,hdiff,0,0,8,6
3,2,f2,hg,0,0,14,6
3,2,f2,hdiff,1,0,8,14
3,2,f2,hi,0,0,8,6
3,2,f2,hlength,0,0,16,18
3,2,f2,hmax,0,0,8,6
3,2,f2,hnba,1,0,12,16
3,2,f4,hg,0,0,36,26
3,2,f4,hdiff,0,0,24,24
3,2,f4,hi,0,0,14,6
3,2,f4,hlength,0,0,38,24
3,2,f4,hmax,0,0,32,30
3,2,f4,hnba,0,0,38,36
3,2,f3,hg,0,0,12,10
3,2,f3,hdiff,1,0,12,16
3,2,f3,hi,1,0,16,32
3,2,f3,hlength,0,0,12,10
3,2,f3,hmax,0,0,18,16
3,2,f3,hnba,1,0,12,16
3,2,f6,hg,0,0,22,6
3,2,f6,hdiff,0,0,8,6
3,2,f6,hi,0,0,20,12
3,2,f6,hlength,1,0,22,28
3,2,f6,hmax,0,0,12,10
3,2,f6,hnba,0,0,28,18
4,2,f5,hg,0,0,8,6
4,2,f5,hdiff,0,0,8,6
4,2,f5,hi,0,0,8,6
4,2,f5,hlength,0,0,18,18
4,2,f5,hmax,0,0,10,6
4,2,f5,hnba,0,0,8,10
4,2,f1,hg,0,0,8,6
4,2,f1,hdiff,0,0,12,6
4,2,f2,hg,0,0,8,6
4,2,f2,hdiff,0,0,22,14
4,2,f2,hi,0,0,8,6
4,2,f2,hlength,1,0,8,18
4,2,f2,hmax,0,0,10,6
4,2,f2,hnba,1,0,12,16
4,2,f4,hg,0,0,24,26
4,2,f4,hdiff,0,0,24,24
4,2,f4,hi,0,0,30,6
4,2,f4,hlength,0,0,36,24
4,2,f4,hmax,1,0,26,30
4,2,f4,hnba,0,0,38,36
4,2,f3,hg,0,0,12,10
4,2,f3,hdiff,1,0,10,16
4,2,f3,hi,1,0,16,32
4,2,f3,hlength,0,0,12,10
4,2,f3,hmax,0,0,18,16
4,2,f3,hnba,1,0,12,16
4,2,f6,hg,0,0,8,6
4,2,f6,hdiff,0,0,8,6
4,2,f6,hi,1,0,8,12
4,2,f6,hlength,1,0,24,28
4,2,f6,hmax,0,0,10,10
4,2,f6,hnba,0,0,16,18
5,2,f5,hg,0,0,14,6
5,2,f5,hdiff,0,0,14,6
5,2,f5,hi,0,0,8,6
5,2,f5,hlength,0,0,16,18
5,2,f5,hmax,0,0,10,6
5,2,f5,hnba,0,0,20,10
5,2,f1,hg,0,0,8,6
5,2,f1,hdiff,0,0,8,6
5,2,f2,hg,0,0,8,6
5,2,f2,hdiff,0,0,14,14
5,2,f2,hi,0,0,14,6
5,2,f2,hlength,0,0,24,18
5,2,f2,hmax,0,0,10,6
5,2,f2,hnba,0,0,14,16
5,2,f4,hg,0,0,28,26
5,2,f4,hdiff,0,0,34,24
5,2,f4,hi,0,0,28,6
5,2,f4,hlength,0,0,42,24
5,2,f4,hmax,0,0,30,30
5,2,f4,hnba,0,0,38,36
5,2,f3,hg,0,0,12,10
5,2,f3,hdiff,1,0,8,16
5,2,f3,hi,1,0,16,32
5,2,f3,hlength,0,0,12,10
5,2,f3,hmax,0,0,14,16
5,2,f3,hnba,0,0,14,16
5,2,f6,hg,0,0,20,6
5,2,f6,hdiff,0,0,20,6
5,2,f6,hi,0,0,22,12
5,2,f6,hlength,1,0,20,28
5,2,f6,hmax,0,0,10,10
5,2,f6,hnba,1,0,10,18
6,2,f5,hg,0,0,16,6
6,2,f5,hdiff,0,0,8,6
6,2,f5,hi,0,0,8,6
6,2,f5,hlength,0,0,18,18
6,2,f5,hmax,0,0,8,6
6,2,f5,hnba,0,0,8,10
