node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,1,0,17,23
0,1,f5,hdiff,0,0,16,16
0,1,f5,hi,1,0,23,26
0,1,f5,hlength,1,0,17,23
0,1,f5,hmax,0,0,14,14
0,1,f5,hnba,1,0,21,29
0,1,f1,hg,0,0,12,12
0,1,f1,hdiff,0,0,12,11
0,1,f2,hg,0,0,23,18
0,1,f2,hdiff,0,0,22,22
0,1,f2,hi,1,0,18,22
0,1,f2,hlength,0,0,22,21
0,1,f2,hmax,0,0,12,12
0,1,f2,hnba,1,0,37,40
0,1,f4,hg,0,0,124,72
0,1,f4,hdiff,1,0,255,257
0,1,f4,hi,1,0,125,223
0,1,f4,hlength,0,0,251,119
0,1,f4,hmax,0,0,39,37
0,1,f4,hnba,0,0,328,177
0,1,f3,hg,0,0,25,25
0,1,f3,hdiff,0,0,70,59
0,1,f3,hi,0,0,20,18
0,1,f3,hlength,0,0,25,18
0,1,f3,hmax,1,0,30,42
0,1,f3,hnba,0,0,36,34
0,1,f6,hg,0,0,73,29
0,1,f6,hdiff,1,0,34,98
0,1,f6,hi,0,0,77,40
0,1,f6,hlength,0,0,109,25
0,1,f6,hmax,1,0,18,26
0,1,f6,hnba,0,0,143,77
1,1,f5,hg,1,0,13,23
1,1,f5,hdiff,0,0,18,16
1,1,f5,hi,1,0,17,26
1,1,f5,hlength,1,0,13,23
1,1,f5,hmax,0,0,14,14
1,1,f5,hnba,0,0,35,29
1,1,f1,hg,0,0,11,12
1,1,f1,hdiff,0,0,11,11
1,1,f2,hg,1,0,13,18
1,1,f2,hdiff,0,0,27,22
1,1,f2,hi,1,0,14,22
1,1,f2,hlength,0,0,20,21
1,1,f2,hmax,0,0,11,12
1,1,f2,hnba,1,0,33,40
1,1,f4,hg,0,0,85,72
1,1,f4,hdiff,1,0,255,257
1,1,f4,hi,1,0,94,223
1,1,f4,hlength,0,0,267,119
1,1,f4,hmax,0,0,39,37
1,1,f4,hnba,0,0,328,177
1,1,f3,hg,0,0,36,25
1,1,f3,hdiff,0,0,70,59
1,1,f3,hi,0,0,30,18
1,1,f3,hlength,0,0,33,18
1,1,f3,hmax,1,0,29,42
1,1,f3,hnba,0,0,40,34
1,1,f6,hg,0,0,71,29
1,1,f6,hdiff,1,0,34,98
1,1,f6,hi,0,0,83,40
1,1,f6,hlength,0,0,101,25
1,1,f6,hmax,1,0,20,26
1,1,f6,hnba,0,0,165,77
2,1,f5,hg,1,0,13,23
2,1,f5,hdiff,0,0,20,16
2,1,f5,hi,1,0,23,26
2,1,f5,hlength,1,0,21,23
2,1,f5,hmax,1,0,10,14
2,1,f5,hnba,0,0,35,29
2,1,f1,hg,1,0,10,12
2,1,f1,hdiff,0,0,10,11
2,1,f2,hg,0,0,17,18
2,1,f2,hdiff,0,0,21,22
2,1,f2,hi,1,0,14,22
