node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,0,22,21
0,1,f5,hdiff,0,0,24,21
0,1,f5,hi,0,0,22,21
0,1,f5,hlength,1,0,60,99
0,1,f5,hmax,0,0,46,23
0,1,f5,hnba,1,0,30,65
0,1,f1,hg,0,0,18,17
0,1,f1,hdiff,0,0,24,23
0,1,f2,hg,0,0,18,17
0,1,f2,hdiff,0,0,24,23
0,1,f2,hi,0,0,24,23
0,1,f2,hlength,0,0,44,37
0,1,f2,hmax,0,0,36,25
0,1,f2,hnba,0,0,22,21
0,1,f4,hg,0,0,18,17
0,1,f4,hdiff,0,0,24,23
0,1,f4,hi,0,0,632,317
0,1,f4,hlength,0,0,1228,1225
0,1,f4,hmax,1,0,166,343
0,1,f4,hnba,0,0,794,793
0,1,f3,hg,0,0,20,19
0,1,f3,hdiff,0,0,22,23
0,1,f3,hi,1,0,32,35
0,1,f3,hlength,0,0,30,23
0,1,f3,hmax,0,0,110,65
0,1,f3,hnba,0,0,22,21
0,1,f6,hg,0,0,22,21
0,1,f6,hdiff,0,0,24,25
0,1,f6,hi,0,0,586,257
0,1,f6,hlength,0,0,930,159
0,1,f6,hmax,0,0,542,19
0,1,f6,hnba,0,0,780,39
1,1,f5,hg,0,0,22,21
1,1,f5,hdiff,0,0,22,21
1,1,f5,hi,0,0,22,21
1,1,f5,hlength,1,0,56,99
1,1,f5,hmax,0,0,42,23
1,1,f5,hnba,1,0,56,65
1,1,f1,hg,0,0,16,17
1,1,f1,hdiff,0,0,22,23
1,1,f2,hg,0,0,16,17
1,1,f2,hdiff,0,0,22,23
1,1,f2,hi,1,0,20,23
1,1,f2,hlength,0,0,108,37
1,1,f2,hmax,0,0,40,25
1,1,f2,hnba,0,0,40,21
1,1,f4,hg,0,0,16,17
1,1,f4,hdiff,0,0,22,23
1,1,f4,hi,0,0,1014,317
1,1,f4,hlength,0,0,1226,1225
1,1,f4,hmax,1,0,86,343
1,1,f4,hnba,0,0,924,793
1,1,f3,hg,0,0,20,19
1,1,f3,hdiff,0,0,24,23
1,1,f3,hi,1,0,28,35
1,1,f3,hlength,0,0,24,23
1,1,f3,hmax,0,0,130,65
1,1,f3,hnba,0,0,40,21
1,1,f6,hg,0,0,22,21
1,1,f6,hdiff,1,0,22,25
1,1,f6,hi,0,0,694,257
1,1,f6,hlength,0,0,972,159
