node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,0,8,8
0,1,f5,hdiff,0,0,10,8
0,1,f5,hi,0,0,8,8
0,1,f5,hlength,0,0,8,7
0,1,f5,hmax,0,0,7,8
0,1,f5,hnba,0,0,10,10
0,1,f1,hg,0,0,7,8
0,1,f1,hdiff,0,0,7,8
0,1,f2,hg,0,0,8,8
0,1,f2,hdiff,1,0,7,9
0,1,f2,hi,1,0,7,10
0,1,f2,hlength,0,0,9,8
0,1,f2,hmax,0,0,7,8
0,1,f2,hnba,0,0,8,8
0,1,f4,hg,0,0,13,14
0,1,f4,hdiff,0,0,10,11
0,1,f4,hi,1,0,13,18
0,1,f4,hlength,0,0,13,14
0,1,f4,hmax,0,0,7,8
0,1,f4,hnba,0,0,10,11
0,1,f3,hg,0,0,11,10
0,1,f3,hdiff,0,0,8,9
0,1,f3,hi,0,0,10,10
0,1,f3,hlength,1,0,9,11
0,1,f3,hmax,1,0,8,10
0,1,f3,hnba,0,0,8,8
0,1,f6,hg,0,0,10,10
0,1,f6,hdiff,0,0,10,10
0,1,f6,hi,1,0,7,12
0,1,f6,hlength,0,0,12,12
0,1,f6,hmax,0,0,7,8
0,1,f6,hnba,0,0,12,10
1,1,f5,hg,0,0,8,8
1,1,f5,hdiff,0,0,8,8
1,1,f5,hi,0,0,7,8
1,1,f5,hlength,0,0,8,7
1,1,f5,hmax,0,0,8,8
1,1,f5,hnba,0,0,10,10
1,1,f1,hg,0,0,7,8
1,1,f1,hdiff,0,0,8,8
1,1,f2,hg,0,0,7,8
1,1,f2,hdiff,0,0,9,9
1,1,f2,hi,1,0,7,10
1,1,f2,hlength,0,0,9,8
1,1,f2,hmax,0,0,8,8
1,1,f2,hnba,0,0,7,8
1,1,f4,hg,0,0,13,14
1,1,f4,hdiff,0,0,11,11
1,1,f4,hi,1,0,14,18
1,1,f4,hlength,0,0,13,14
1,1,f4,hmax,0,0,8,8
1,1,f4,hnba,0,0,11,11
1,1,f3,hg,0,0,10,10
1,1,f3,hdiff,0,0,9,9
1,1,f3,hi,0,0,11,10
1,1,f3,hlength,0,0,11,11
1,1,f3,hmax,0,0,9,10
1,1,f3,hnba,0,0,7,8
1,1,f6,hg,0,0,10,10
1,1,f6,hdiff,0,0,10,10
1,1,f6,hi,0,0,12,12
1,1,f6,hlength,0,0,12,12
1,1,f6,hmax,0,0,8,8
1,1,f6,hnba,0,0,10,10
2,1,f5,hg,0,0,8,8
2,1,f5,hdiff,1,0,6,8
2,1,f5,hi,0,0,8,8
2,1,f5,hlength,0,0,7,7
2,1,f5,hmax,1,0,6,8
2,1,f5,hnba,0,0,9,10
2,1,f1,hg,1,0,6,8
2,1,f1,hdiff,1,0,6,8
2,1,f2,hg,0,0,9,8
2,1,f2,hdiff,1,0,7,9
2,1,f2,hi,1,0,6,10
2,1,f2,hlength,0,0,7,8
2,1,f2,hmax,1,0,6,8
2,1,f2,hnba,0,0,8,8
2,1,f4,hg,1,0,9,14
2,1,f4,hdiff,1,0,6,11
2,1,f4,hi,1,0,12,18
2,1,f4,hlength,1,0,9,14
2,1,f4,hmax,1,0,6,8
2,1,f4,hnba,1,0,6,11
2,1,f3,hg,1,0,8,10
2,1,f3,hdiff,0,0,8,9
2,1,f3,hi,0,0,11,10
2,1,f3,hlength,1,0,6,11
2,1,f3,hmax,1,0,7,10
2,1,f3,hnba,0,0,8,8
2,1,f6,hg,1,0,8,10
2,1,f6,hdiff,1,0,6,10
2,1,f6,hi,1,0,10,12
2,1,f6,hlength,1,0,8,12
2,1,f6,hmax,1,0,6,8
2,1,f6,hnba,0,0,9,10
3,2,f5,hg,0,0,6,8
3,2,f5,hdiff,0,0,6,8
3,2,f5,hi,0,0,8,8
3,2,f5,hlength,0,0,6,7
3,2,f5,hmax,0,0,6,8
3,2,f5,hnba,0,0,10,10
3,2,f1,hg,0,0,6,8
3,2,f1,hdiff,0,0,6,8
3,2,f2,hg,0,0,6,8
3,2,f2,hdiff,1,0,6,9
3,2,f2,hi,0,0,9,10
3,2,f2,hlength,0,0,7,8
3,2,f2,hmax,0,0,6,8
3,2,f2,hnba,0,0,6,8
3,2,f4,hg,1,0,7,14
3,2,f4,hdiff,0,0,9,11
3,2,f4,hi,1,0,11,18
3,2,f4,hlength,1,0,7,14
3,2,f4,hmax,0,0,6,8
3,2,f4,hnba,0,0,9,11
3,2,f3,hg,0,0,8,10
3,2,f3,hdiff,0,0,7,9
3,2,f3,hi,1,0,7,10
3,2,f3,hlength,0,0,9,11
3,2,f3,hmax,0,0,10,10
3,2,f3,hnba,0,0,6,8
3,2,f6,hg,0,0,8,10
3,2,f6,hdiff,0,0,8,10
3,2,f6,hi,1,0,8,12
3,2,f6,hlength,0,0,10,12
3,2,f6,hmax,0,0,6,8
3,2,f6,hnba,0,0,8,10
4,2,f5,hg,1,0,5,8
4,2,f5,hdiff,1,0,5,8
4,2,f5,hi,0,0,8,8
4,2,f5,hlength,0,0,6,7
4,2,f5,hmax,1,0,5,8
4,2,f5,hnba,1,0,5,10
4,2,f1,hg,1,0,5,8
4,2,f1,hdiff,1,0,5,8
4,2,f2,hg,1,0,5,8
4,2,f2,hdiff,1,0,5,9
4,2,f2,hi,0,0,8,10
4,2,f2,hlength,1,0,5,8
4,2,f2,hmax,1,0,5,8
4,2,f2,hnba,1,0,5,8
4,2,f4,hg,1,0,10,14
4,2,f4,hdiff,1,0,5,11
4,2,f4,hi,1,0,9,18
4,2,f4,hlength,1,0,10,14
4,2,f4,hmax,1,0,5,8
4,2,f4,hnba,1,0,5,11
4,2,f3,hg,0,0,8,10
4,2,f3,hdiff,1,0,5,9
4,2,f3,hi,1,0,5,10
4,2,f3,hlength,1,0,7,11
4,2,f3,hmax,0,0,12,10
4,2,f3,hnba,1,0,5,8
4,2,f6,hg,1,0,5,10
4,2,f6,hdiff,1,0,5,10
4,2,f6,hi,1,0,8,12
4,2,f6,hlength,1,0,5,12
4,2,f6,hmax,1,0,5,8
4,2,f6,hnba,1,0,5,10
5,3,f5,hg,0,0,6,8
5,3,f5,hdiff,0,0,8,8
5,3,f5,hi,0,0,6,8
5,3,f5,hlength,0,0,6,7
5,3,f5,hmax,0,0,6,8
5,3,f5,hnba,0,0,8,10
5,3,f1,hg,0,0,5,8
5,3,f1,hdiff,0,0,5,8
5,3,f2,hg,0,0,6,8
5,3,f2,hdiff,0,0,6,9
5,3,f2,hi,0,0,7,10
5,3,f2,hlength,0,0,6,8
5,3,f2,hmax,0,0,6,8
5,3,f2,hnba,0,0,7,8
5,3,f4,hg,1,0,6,14
5,3,f4,hdiff,0,0,8,11
5,3,f4,hi,1,0,9,18
5,3,f4,hlength,1,0,6,14
5,3,f4,hmax,0,0,6,8
5,3,f4,hnba,0,0,8,11
5,3,f3,hg,0,0,11,10
5,3,f3,hdiff,0,0,8,9
5,3,f3,hi,1,0,6,10
5,3,f3,hlength,1,0,7,11
5,3,f3,hmax,0,0,8,10
5,3,f3,hnba,0,0,7,8
5,3,f6,hg,0,0,8,10
5,3,f6,hdiff,0,0,8,10
5,3,f6,hi,1,0,7,12
5,3,f6,hlength,0,0,10,12
5,3,f6,hmax,0,0,6,8
5,3,f6,hnba,0,0,10,10
6,3,f5,hg,0,0,6,8
6,3,f5,hdiff,0,0,8,8
6,3,f5,hi,0,0,8,8
6,3,f5,hlength,0,0,5,7
6,3,f5,hmax,0,0,5,8
6,3,f5,hnba,1,0,5,10
6,3,f1,hg,0,0,6,8
6,3,f1,hdiff,0,0,6,8
6,3,f2,hg,0,0,7,8
6,3,f2,hdiff,1,0,5,9
6,3,f2,hi,0,0,9,10
6,3,f2,hlength,0,0,5,8
6,3,f2,hmax,0,0,5,8
6,3,f2,hnba,0,0,5,8
6,3,f4,hg,1,0,8,14
6,3,f4,hdiff,1,0,5,11
6,3,f4,hi,1,0,7,18
6,3,f4,hlength,1,0,8,14
6,3,f4,hmax,0,0,5,8
6,3,f4,hnba,1,0,5,11
6,3,f3,hg,0,0,7,10
6,3,f3,hdiff,0,0,8,9
6,3,f3,hi,0,0,7,10
6,3,f3,hlength,0,0,8,11
6,3,f3,hmax,0,0,8,10
6,3,f3,hnba,0,0,5,8
6,3,f6,hg,0,0,8,10
6,3,f6,hdiff,0,0,8,10
6,3,f6,hi,1,0,8,12
6,3,f6,hlength,0,0,10,12
6,3,f6,hmax,0,0,5,8
6,3,f6,hnba,1,0,5,10
7,3,f5,hg,0,0,6,8
7,3,f5,hdiff,0,0,6,8
7,3,f5,hi,0,0,8,8
7,3,f5,hlength,0,0,6,7
7,3,f5,hmax,0,0,6,8
7,3,f5,hnba,1,0,6,10
7,3,f1,hg,0,0,6,8
7,3,f1,hdiff,0,0,6,8
7,3,f2,hg,0,0,6,8
7,3,f2,hdiff,0,0,6,9
7,3,f2,hi,0,0,10,10
7,3,f2,hlength,0,0,7,8
7,3,f2,hmax,0,0,6,8
7,3,f2,hnba,0,0,7,8
7,3,f4,hg,1,0,8,14
7,3,f4,hdiff,0,0,10,11
7,3,f4,hi,0,0,15,18
7,3,f4,hlength,1,0,8,14
7,3,f4,hmax,0,0,6,8
7,3,f4,hnba,0,0,10,11
7,3,f3,hg,0,0,8,10
7,3,f3,hdiff,0,0,8,9
7,3,f3,hi,1,0,6,10
7,3,f3,hlength,0,0,8,11
7,3,f3,hmax,0,0,7,10
7,3,f3,hnba,0,0,7,8
7,3,f6,hg,0,0,8,10
7,3,f6,hdiff,0,0,8,10
7,3,f6,hi,1,0,8,12
7,3,f6,hlength,0,0,10,12
7,3,f6,hmax,0,0,6,8
7,3,f6,hnba,1,0,6,10
8,3,f5,hg,1,0,4,8
8,3,f5,hdiff,1,0,4,8
8,3,f5,hi,0,0,7,8
8,3,f5,hlength,0,0,4,7
8,3,f5,hmax,1,0,4,8
8,3,f5,hnba,1,0,4,10
8,3,f1,hg,1,0,4,8
8,3,f1,hdiff,1,0,4,8
8,3,f2,hg,1,0,4,8
8,3,f2,hdiff,1,0,4,9
8,3,f2,hi,1,0,5,10
8,3,f2,hlength,0,0,5,8
8,3,f2,hmax,1,0,4,8
8,3,f2,hnba,1,0,4,8
8,3,f4,hg,1,0,9,14
8,3,f4,hdiff,1,0,4,11
8,3,f4,hi,1,0,6,18
8,3,f4,hlength,1,0,9,14
8,3,f4,hmax,1,0,4,8
8,3,f4,hnba,1,0,4,11
8,3,f3,hg,0,0,8,10
8,3,f3,hdiff,0,0,6,9
8,3,f3,hi,1,0,4,10
8,3,f3,hlength,1,0,4,11
8,3,f3,hmax,0,0,7,10
8,3,f3,hnba,1,0,4,8
8,3,f6,hg,0,0,8,10
8,3,f6,hdiff,1,0,4,10
8,3,f6,hi,1,0,6,12
8,3,f6,hlength,1,0,8,12
8,3,f6,hmax,1,0,4,8
8,3,f6,hnba,1,0,4,10
9,3,f5,hg,0,0,5,8
9,3,f5,hdiff,0,0,5,8
9,3,f5,hi,0,0,5,8
9,3,f5,hlength,0,0,6,7
9,3,f5,hmax,0,0,5,8
9,3,f5,hnba,1,0,5,10
9,3,f1,hg,0,0,5,8
9,3,f1,hdiff,0,0,5,8
9,3,f2,hg,0,0,5,8
9,3,f2,hdiff,1,0,5,9
9,3,f2,hi,0,0,10,10
9,3,f2,hlength,0,0,5,8
9,3,f2,hmax,0,0,5,8
9,3,f2,hnba,0,0,5,8
9,3,f4,hg,1,0,10,14
9,3,f4,hdiff,1,0,5,11
9,3,f4,hi,1,0,6,18
9,3,f4,hlength,1,0,10,14
9,3,f4,hmax,0,0,5,8
9,3,f4,hnba,1,0,5,11
9,3,f3,hg,0,0,8,10
9,3,f3,hdiff,1,0,5,9
9,3,f3,hi,1,0,5,10
9,3,f3,hlength,1,0,7,11
9,3,f3,hmax,0,0,12,10
9,3,f3,hnba,0,0,5,8
9,3,f6,hg,1,0,5,10
9,3,f6,hdiff,1,0,5,10
9,3,f6,hi,1,0,7,12
9,3,f6,hlength,1,0,5,12
9,3,f6,hmax,0,0,5,8
9,3,f6,hnba,1,0,5,10
10,3,f5,hg,0,0,5,8
10,3,f5,hdiff,0,0,5,8
10,3,f5,hi,0,0,8,8
10,3,f5,hlength,0,0,6,7
10,3,f5,hmax,0,0,5,8
10,3,f5,hnba,1,0,5,10
10,3,f1,hg,0,0,5,8
