node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,0,10,10
0,1,f5,hdiff,0,0,10,10
0,1,f5,hi,0,0,11,11
0,1,f5,hlength,0,0,10,10
0,1,f5,hmax,0,0,10,10
0,1,f5,hnba,0,0,12,11
0,1,f1,hg,0,0,10,11
0,1,f1,hdiff,0,0,10,11
0,1,f2,hg,0,0,10,11
0,1,f2,hdiff,0,0,10,11
0,1,f2,hi,0,0,13,10
0,1,f2,hlength,0,0,10,11
0,1,f2,hmax,0,0,13,10
0,1,f2,hnba,0,0,14,15
0,1,f4,hg,0,0,11,12
0,1,f4,hdiff,0,0,11,12
0,1,f4,hi,1,0,13,15
0,1,f4,hlength,0,0,11,12
0,1,f4,hmax,0,0,13,14
0,1,f4,hnba,0,0,13,14
0,1,f3,hg,0,0,12,12
0,1,f3,hdiff,0,0,12,12
0,1,f3,hi,0,0,11,11
0,1,f3,hlength,0,0,12,12
0,1,f3,hmax,0,0,17,14
0,1,f3,hnba,0,0,14,15
0,1,f6,hg,0,0,10,10
0,1,f6,hdiff,0,0,10,10
0,1,f6,hi,0,0,12,11
0,1,f6,hlength,0,0,10,10
0,1,f6,hmax,1,0,10,12
0,1,f6,hnba,0,0,12,12
1,1,f5,hg,0,0,10,10
1,1,f5,hdiff,0,0,10,10
1,1,f5,hi,0,0,11,11
1,1,f5,hlength,0,0,10,10
1,1,f5,hmax,0,0,10,10
1,1,f5,hnba,0,0,12,11
1,1,f1,hg,0,0,10,11
1,1,f1,hdiff,0,0,10,11
1,1,f2,hg,0,0,10,11
1,1,f2,hdiff,0,0,10,11
1,1,f2,hi,0,0,11,10
1,1,f2,hlength,0,0,10,11
1,1,f2,hmax,0,0,13,10
1,1,f2,hnba,0,0,14,15
1,1,f4,hg,0,0,11,12
1,1,f4,hdiff,0,0,11,12
1,1,f4,hi,1,0,13,15
1,1,f4,hlength,0,0,11,12
1,1,f4,hmax,0,0,13,14
1,1,f4,hnba,0,0,13,14
1,1,f3,hg,1,0,10,12
1,1,f3,hdiff,1,0,10,12
1,1,f3,hi,0,0,11,11
1,1,f3,hlength,1,0,10,12
1,1,f3,hmax,0,0,16,14
1,1,f3,hnba,0,0,14,15
1,1,f6,hg,0,0,10,10
1,1,f6,hdiff,0,0,10,10
1,1,f6,hi,0,0,12,11
1,1,f6,hlength,0,0,10,10
1,1,f6,hmax,1,0,10,12
1,1,f6,hnba,0,0,12,12
2,1,f5,hg,0,0,10,10
2,1,f5,hdiff,0,0,10,10
2,1,f5,hi,0,0,11,11
2,1,f5,hlength,0,0,10,10
2,1,f5,hmax,0,0,10,10
2,1,f5,hnba,0,0,12,11
2,1,f1,hg,0,0,10,11
2,1,f1,hdiff,0,0,10,11
2,1,f2,hg,0,0,10,11
2,1,f2,hdiff,0,0,10,11
2,1,f2,hi,0,0,13,10
2,1,f2,hlength,0,0,10,11
2,1,f2,hmax,0,0,13,10
2,1,f2,hnba,0,0,14,15
2,1,f4,hg,0,0,11,12
2,1,f4,hdiff,0,0,11,12
2,1,f4,hi,1,0,13,15
2,1,f4,hlength,0,0,11,12
2,1,f4,hmax,0,0,13,14
2,1,f4,hnba,0,0,13,14
2,1,f3,hg,0,0,17,12
2,1,f3,hdiff,0,0,17,12
2,1,f3,hi,0,0,11,11
2,1,f3,hlength,0,0,17,12
2,1,f3,hmax,0,0,14,14
2,1,f3,hnba,0,0,14,15
2,1,f6,hg,0,0,10,10
