node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hnba,0,0,19,20
0,1,f5,hlength,0,0,19,20
0,1,f5,hi,0,0,19,20
0,1,f5,hg,0,0,19,20
0,1,f3,hnba,0,0,18,19
0,1,f3,hmax,0,0,19,20
0,1,f3,hlength,0,0,19,20
0,1,f3,hi,1,0,18,20
0,1,f3,hdiff,0,0,17,18
0,1,f3,hg,0,0,17,18
0,1,f3,hnba,0,0,19,20
0,1,f3,hmax,0,0,19,20
0,1,f3,hlength,0,0,19,20
0,1,f3,hi,0,0,19,20
0,1,f3,hdiff,0,0,19,20
0,1,f3,hg,0,0,19,20
0,1,f1,hnba,0,0,19,20
0,1,f1,hlength,0,0,19,20
0,1,f1,hdiff,0,0,19,20
0,1,f4,hnba,0,0,19,20
0,1,f4,hlength,0,0,19,20
0,1,f4,hi,0,0,19,20
1,2,f5,hnba,0,0,18,20
1,2,f5,hlength,0,0,18,20
1,2,f5,hi,0,0,18,20
1,2,f5,hg,0,0,18,20
1,2,f3,hnba,0,0,17,19
1,2,f3,hmax,0,0,18,20
1,2,f3,hlength,0,0,18,20
1,2,f3,hi,0,0,18,20
1,2,f3,hdiff,0,0,16,18
1,2,f3,hg,0,0,16,18
1,2,f3,hnba,0,0,18,20
1,2,f3,hmax,0,0,18,20
1,2,f3,hlength,0,0,18,20
1,2,f3,hi,0,0,18,20
1,2,f3,hdiff,0,0,18,20
1,2,f3,hg,0,0,18,20
1,2,f1,hnba,0,0,18,20
1,2,f1,hlength,0,0,18,20
1,2,f1,hdiff,0,0,18,20
1,2,f4,hnba,0,0,18,20
1,2,f4,hlength,0,0,18,20
1,2,f4,hi,0,0,18,20
2,2,f5,hnba,0,0,18,20
2,2,f5,hlength,0,0,18,20
2,2,f5,hi,0,0,18,20
2,2,f5,hg,0,0,18,20
2,2,f3,hnba,0,0,17,19
2,2,f3,hmax,0,0,18,20
2,2,f3,hlength,0,0,18,20
2,2,f3,hi,0,0,18,20
2,2,f3,hdiff,0,0,17,18
2,2,f3,hg,0,0,17,18
2,2,f3,hnba,0,0,18,20
2,2,f3,hmax,0,0,18,20
2,2,f3,hlength,0,0,18,20
2,2,f3,hi,0,0,18,20
2,2,f3,hdiff,0,0,18,20
2,2,f3,hg,0,0,18,20
2,2,f1,hnba,0,0,18,20
2,2,f1,hlength,0,0,18,20
2,2,f1,hdiff,1,0,17,20
2,2,f4,hnba,0,0,18,20
2,2,f4,hlength,0,0,18,20
2,2,f4,hi,1,0,17,20
3,2,f5,hnba,0,0,18,20
3,2,f5,hlength,0,0,18,20
3,2,f5,hi,0,0,18,20
3,2,f5,hg,0,0,18,20
3,2,f3,hnba,0,0,17,19
3,2,f3,hmax,0,0,18,20
3,2,f3,hlength,0,0,18,20
3,2,f3,hi,0,0,18,20
3,2,f3,hdiff,0,0,17,18
3,2,f3,hg,0,0,17,18
3,2,f3,hnba,0,0,18,20
3,2,f3,hmax,0,0,18,20
3,2,f3,hlength,0,0,18,20
3,2,f3,hi,0,0,18,20
3,2,f3,hdiff,0,0,18,20
3,2,f3,hg,0,0,18,20
3,2,f1,hnba,0,0,18,20
3,2,f1,hlength,0,0,18,20
3,2,f1,hdiff,1,0,17,20
3,2,f4,hnba,0,0,18,20
3,2,f4,hlength,0,0,18,20
3,2,f4,hi,1,0,17,20
4,2,f5,hnba,0,0,18,20
4,2,f5,hlength,0,0,18,20
4,2,f5,hi,0,0,18,20
4,2,f5,hg,0,0,18,20
4,2,f3,hnba,0,0,17,19
4,2,f3,hmax,1,0,17,20
4,2,f3,hlength,0,0,18,20
4,2,f3,hi,0,0,18,20
4,2,f3,hdiff,0,0,17,18
4,2,f3,hg,0,0,17,18
4,2,f3,hnba,0,0,18,20
4,2,f3,hmax,0,0,18,20
4,2,f3,hlength,0,0,18,20
4,2,f3,hi,0,0,18,20
4,2,f3,hdiff,0,0,18,20
4,2,f3,hg,0,0,18,20
4,2,f1,hnba,0,0,18,20
4,2,f1,hlength,0,0,18,20
4,2,f1,hdiff,1,0,17,20
4,2,f4,hnba,0,0,18,20
4,2,f4,hlength,0,0,18,20
4,2,f4,hi,1,0,17,20
5,2,f5,hnba,0,0,18,20
5,2,f5,hlength,0,0,18,20
5,2,f5,hi,0,0,18,20
5,2,f5,hg,0,0,18,20
5,2,f3,hnba,0,0,17,19
5,2,f3,hmax,0,0,18,20
5,2,f3,hlength,0,0,18,20
5,2,f3,hi,0,0,18,20
5,2,f3,hdiff,0,0,16,18
5,2,f3,hg,0,0,16,18
5,2,f3,hnba,0,0,18,20
5,2,f3,hmax,0,0,18,20
5,2,f3,hlength,0,0,18,20
5,2,f3,hi,0,0,18,20
5,2,f3,hdiff,0,0,18,20
5,2,f3,hg,0,0,18,20
5,2,f1,hnba,0,0,18,20
5,2,f1,hlength,0,0,18,20
5,2,f1,hdiff,0,0,18,20
5,2,f4,hnba,0,0,18,20
5,2,f4,hlength,0,0,18,20
5,2,f4,hi,1,0,17,20
6,2,f5,hnba,0,0,18,20
6,2,f5,hlength,0,0,18,20
6,2,f5,hi,0,0,18,20
6,2,f5,hg,0,0,18,20
6,2,f3,hnba,0,0,17,19
6,2,f3,hmax,1,0,16,20
6,2,f3,hlength,0,0,18,20
6,2,f3,hi,0,0,18,20
6,2,f3,hdiff,0,0,18,18
6,2,f3,hg,0,0,18,18
6,2,f3,hnba,0,0,18,20
6,2,f3,hmax,0,0,18,20
6,2,f3,hlength,0,0,18,20
6,2,f3,hi,0,0,18,20
6,2,f3,hdiff,0,0,18,20
6,2,f3,hg,0,0,18,20
6,2,f1,hnba,0,0,18,20
6,2,f1,hlength,0,0,18,20
6,2,f1,hdiff,0,0,18,20
6,2,f4,hnba,0,0,18,20
6,2,f4,hlength,0,0,18,20
6,2,f4,hi,1,0,17,20
7,3,f5,hnba,0,0,17,20
7,3,f5,hlength,0,0,17,20
7,3,f5,hi,0,0,17,20
7,3,f5,hg,0,0,17,20
7,3,f3,hnba,0,0,16,19
7,3,f3,hmax,0,0,17,20
7,3,f3,hlength,0,0,17,20
7,3,f3,hi,0,0,17,20
7,3,f3,hdiff,0,0,17,18
7,3,f3,hg,0,0,17,18
7,3,f3,hnba,0,0,17,20
7,3,f3,hmax,0,0,17,20
7,3,f3,hlength,0,0,17,20
7,3,f3,hi,0,0,17,20
7,3,f3,hdiff,0,0,17,20
7,3,f3,hg,0,0,17,20
7,3,f1,hnba,0,0,17,20
7,3,f1,hlength,0,0,17,20
7,3,f1,hdiff,1,0,16,20
7,3,f4,hnba,0,0,17,20
7,3,f4,hlength,0,0,17,20
7,3,f4,hi,0,0,17,20
8,3,f5,hnba,0,0,17,20
8,3,f5,hlength,0,0,17,20
8,3,f5,hi,0,0,17,20
8,3,f5,hg,0,0,17,20
8,3,f3,hnba,0,0,16,19
8,3,f3,hmax,1,0,16,20
8,3,f3,hlength,0,0,17,20
8,3,f3,hi,1,0,16,20
