node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,1,0,14,18
0,1,f5,hdiff,1,0,14,18
0,1,f5,hi,0,0,17,18
0,1,f5,hlength,1,0,14,18
0,1,f5,hmax,0,0,14,15
0,1,f5,hnba,0,0,14,15
0,1,f1,hg,0,0,17,18
0,1,f1,hdiff,0,0,17,18
0,1,f2,hg,0,0,17,18
0,1,f2,hdiff,0,0,17,18
0,1,f2,hi,0,0,17,18
0,1,f2,hlength,0,0,14,15
0,1,f2,hmax,0,0,14,15
0,1,f2,hnba,0,0,14,15
0,1,f4,hg,0,0,14,15
0,1,f4,hdiff,0,0,14,15
0,1,f4,hi,0,0,14,15
0,1,f4,hlength,0,0,17,18
0,1,f4,hmax,0,0,14,15
0,1,f4,hnba,0,0,14,15
0,1,f3,hg,0,0,14,15
0,1,f3,hdiff,0,0,17,18
0,1,f3,hi,0,0,17,18
0,1,f3,hlength,0,0,17,18
0,1,f3,hmax,0,0,17,18
0,1,f3,hnba,0,0,14,15
0,1,f6,hg,1,0,14,18
0,1,f6,hdiff,1,0,14,18
0,1,f6,hi,0,0,17,15
0,1,f6,hlength,0,0,17,15
0,1,f6,hmax,0,0,14,15
0,1,f6,hnba,0,0,14,15
1,2,f5,hg,1,0,13,18
1,2,f5,hdiff,1,0,13,18
1,2,f5,hi,0,0,16,18
1,2,f5,hlength,0,0,16,18
1,2,f5,hmax,0,0,13,15
1,2,f5,hnba,0,0,13,15
1,2,f1,hg,0,0,16,18
1,2,f1,hdiff,0,0,16,18
1,2,f2,hg,1,0,13,18
1,2,f2,hdiff,1,0,13,18
1,2,f2,hi,0,0,16,18
1,2,f2,hlength,0,0,13,15
1,2,f2,hmax,0,0,13,15
1,2,f2,hnba,0,0,16,15
1,2,f4,hg,0,0,13,15
1,2,f4,hdiff,0,0,13,15
1,2,f4,hi,0,0,13,15
1,2,f4,hlength,1,0,13,18
1,2,f4,hmax,0,0,13,15
1,2,f4,hnba,0,0,13,15
1,2,f3,hg,0,0,13,15
1,2,f3,hdiff,1,0,13,18
1,2,f3,hi,1,0,13,18
1,2,f3,hlength,1,0,13,18
1,2,f3,hmax,0,0,16,18
1,2,f3,hnba,0,0,13,15
1,2,f6,hg,1,0,13,18
1,2,f6,hdiff,1,0,13,18
1,2,f6,hi,0,0,13,15
1,2,f6,hlength,0,0,13,15
1,2,f6,hmax,0,0,13,15
1,2,f6,hnba,0,0,13,15
2,2,f5,hg,1,0,13,18
2,2,f5,hdiff,1,0,13,18
2,2,f5,hi,1,0,13,18
2,2,f5,hlength,1,0,13,18
2,2,f5,hmax,0,0,13,15
2,2,f5,hnba,0,0,13,15
2,2,f1,hg,1,0,13,18
2,2,f1,hdiff,1,0,13,18
2,2,f2,hg,1,0,13,18
2,2,f2,hdiff,1,0,13,18
2,2,f2,hi,1,0,13,18
2,2,f2,hlength,0,0,13,15
2,2,f2,hmax,0,0,13,15
2,2,f2,hnba,0,0,13,15
2,2,f4,hg,0,0,13,15
2,2,f4,hdiff,0,0,13,15
2,2,f4,hi,0,0,13,15
2,2,f4,hlength,1,0,13,18
