node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,0,16,14
0,1,f5,hdiff,1,0,15,18
0,1,f5,hi,0,0,16,15
0,1,f5,hlength,0,0,32,14
0,1,f5,hmax,1,0,15,19
0,1,f5,hnba,0,0,21,17
0,1,f1,hg,0,0,10,11
0,1,f1,hdiff,0,0,10,11
0,1,f2,hg,0,0,17,16
0,1,f2,hdiff,0,0,14,12
0,1,f2,hi,0,0,10,11
0,1,f2,hlength,0,0,22,14
0,1,f2,hmax,1,0,21,26
0,1,f2,hnba,1,0,10,15
0,1,f4,hg,1,0,18,45
0,1,f4,hdiff,1,0,20,31
0,1,f4,hi,1,0,10,15
0,1,f4,hlength,0,0,125,108
0,1,f4,hmax,0,0,140,106
0,1,f4,hnba,1,0,199,210
0,1,f3,hg,0,0,60,23
0,1,f3,hdiff,0,0,32,31
0,1,f3,hi,0,0,19,20
0,1,f3,hlength,0,0,39,33
0,1,f3,hmax,1,0,63,80
0,1,f3,hnba,1,0,10,16
0,1,f6,hg,1,0,22,31
0,1,f6,hdiff,0,0,24,21
0,1,f6,hi,0,0,46,19
0,1,f6,hlength,0,0,44,42
0,1,f6,hmax,0,0,48,34
0,1,f6,hnba,0,0,120,43
1,2,f5,hg,1,0,10,14
1,2,f5,hdiff,1,0,15,18
1,2,f5,hi,0,0,15,15
1,2,f5,hlength,0,0,16,14
1,2,f5,hmax,0,0,17,19
1,2,f5,hnba,0,0,25,17
1,2,f1,hg,0,0,9,11
1,2,f1,hdiff,0,0,9,11
1,2,f2,hg,0,0,16,16
1,2,f2,hdiff,0,0,10,12
1,2,f2,hi,0,0,13,11
1,2,f2,hlength,0,0,25,14
1,2,f2,hmax,0,0,24,26
1,2,f2,hnba,1,0,12,15
1,2,f4,hg,1,0,21,45
1,2,f4,hdiff,0,0,29,31
1,2,f4,hi,1,0,9,15
1,2,f4,hlength,0,0,194,108
1,2,f4,hmax,0,0,104,106
1,2,f4,hnba,0,0,324,210
1,2,f3,hg,0,0,59,23
1,2,f3,hdiff,0,0,31,31
1,2,f3,hi,0,0,18,20
1,2,f3,hlength,1,0,11,33
1,2,f3,hmax,1,0,54,80
1,2,f3,hnba,0,0,41,16
1,2,f6,hg,1,0,25,31
1,2,f6,hdiff,1,0,16,21
1,2,f6,hi,0,0,49,19
1,2,f6,hlength,0,0,83,42
1,2,f6,hmax,0,0,32,34
1,2,f6,hnba,0,0,57,43
2,2,f5,hg,1,0,10,14
2,2,f5,hdiff,1,0,15,18
2,2,f5,hi,0,0,15,15
2,2,f5,hlength,0,0,16,14
2,2,f5,hmax,0,0,17,19
2,2,f5,hnba,0,0,25,17
2,2,f1,hg,0,0,9,11
2,2,f1,hdiff,0,0,9,11
2,2,f2,hg,0,0,16,16
2,2,f2,hdiff,0,0,10,12
2,2,f2,hi,0,0,13,11
2,2,f2,hlength,0,0,25,14
2,2,f2,hmax,0,0,24,26
2,2,f2,hnba,1,0,12,15
2,2,f4,hg,1,0,21,45
2,2,f4,hdiff,0,0,29,31
2,2,f4,hi,0,0,13,15
2,2,f4,hlength,0,0,194,108
2,2,f4,hmax,0,0,104,106
2,2,f4,hnba,0,0,324,210
2,2,f3,hg,0,0,59,23
2,2,f3,hdiff,0,0,31,31
2,2,f3,hi,0,0,18,20
2,2,f3,hlength,1,0,11,33
2,2,f3,hmax,1,0,54,80
2,2,f3,hnba,0,0,41,16
2,2,f6,hg,1,0,25,31
2,2,f6,hdiff,1,0,16,21
2,2,f6,hi,0,0,49,19
2,2,f6,hlength,0,0,83,42
2,2,f6,hmax,0,0,32,34
2,2,f6,hnba,0,0,57,43
3,3,f5,hg,0,0,14,14
3,3,f5,hdiff,0,0,15,18
3,3,f5,hi,0,0,23,15
3,3,f5,hlength,0,0,16,14
3,3,f5,hmax,1,0,15,19
3,3,f5,hnba,1,0,11,17
3,3,f1,hg,0,0,8,11
3,3,f1,hdiff,0,0,8,11
3,3,f2,hg,1,0,12,16
3,3,f2,hdiff,0,0,12,12
3,3,f2,hi,0,0,12,11
3,3,f2,hlength,0,0,30,14
3,3,f2,hmax,0,0,23,26
3,3,f2,hnba,0,0,15,15
3,3,f4,hg,1,0,18,45
3,3,f4,hdiff,0,0,34,31
3,3,f4,hi,1,0,8,15
3,3,f4,hlength,1,0,39,108
3,3,f4,hmax,0,0,103,106
3,3,f4,hnba,0,0,300,210
3,3,f3,hg,0,0,58,23
3,3,f3,hdiff,0,0,30,31
3,3,f3,hi,0,0,17,20
3,3,f3,hlength,1,0,10,33
3,3,f3,hmax,1,0,50,80
3,3,f3,hnba,0,0,14,16
3,3,f6,hg,1,0,27,31
3,3,f6,hdiff,1,0,9,21
3,3,f6,hi,0,0,105,19
3,3,f6,hlength,0,0,48,42
3,3,f6,hmax,0,0,95,34
3,3,f6,hnba,0,0,56,43
4,4,f5,hg,1,0,8,14
4,4,f5,hdiff,1,0,13,18
4,4,f5,hi,0,0,11,15
4,4,f5,hlength,0,0,18,14
4,4,f5,hmax,0,0,15,19
4,4,f5,hnba,0,0,29,17
4,4,f1,hg,0,0,7,11
4,4,f1,hdiff,0,0,7,11
4,4,f2,hg,1,0,11,16
4,4,f2,hdiff,0,0,11,12
4,4,f2,hi,0,0,7,11
4,4,f2,hlength,0,0,29,14
4,4,f2,hmax,0,0,22,26
4,4,f2,hnba,1,0,8,15
4,4,f4,hg,1,0,17,45
4,4,f4,hdiff,0,0,39,31
4,4,f4,hi,1,0,7,15
4,4,f4,hlength,1,0,38,108
4,4,f4,hmax,0,0,102,106
4,4,f4,hnba,1,0,191,210
4,4,f3,hg,0,0,57,23
4,4,f3,hdiff,0,0,29,31
4,4,f3,hi,0,0,16,20
4,4,f3,hlength,1,0,17,33
4,4,f3,hmax,1,0,49,80
4,4,f3,hnba,1,0,8,16
4,4,f6,hg,1,0,23,31
4,4,f6,hdiff,1,0,14,21
4,4,f6,hi,0,0,159,19
4,4,f6,hlength,1,0,34,42
4,4,f6,hmax,0,0,30,34
4,4,f6,hnba,0,0,55,43
5,5,f5,hg,0,0,12,14
5,5,f5,hdiff,1,0,9,18
5,5,f5,hi,1,0,6,15
5,5,f5,hlength,0,0,26,14
5,5,f5,hmax,1,0,11,19
5,5,f5,hnba,0,0,23,17
5,5,f1,hg,0,0,6,11
5,5,f1,hdiff,0,0,6,11
5,5,f2,hg,0,0,14,16
5,5,f2,hdiff,0,0,9,12
5,5,f2,hi,0,0,6,11
5,5,f2,hlength,0,0,26,14
5,5,f2,hmax,1,0,12,26
5,5,f2,hnba,0,0,30,15
5,5,f4,hg,0,0,40,45
5,5,f4,hdiff,0,0,26,31
5,5,f4,hi,0,0,67,15
5,5,f4,hlength,0,0,109,108
5,5,f4,hmax,0,0,101,106
5,5,f4,hnba,1,0,157,210
5,5,f3,hg,0,0,37,23
5,5,f3,hdiff,0,0,32,31
5,5,f3,hi,0,0,19,20
5,5,f3,hlength,1,0,14,33
5,5,f3,hmax,1,0,46,80
5,5,f3,hnba,0,0,29,16
5,5,f6,hg,1,0,22,31
5,5,f6,hdiff,1,0,8,21
5,5,f6,hi,0,0,20,19
5,5,f6,hlength,0,0,56,42
5,5,f6,hmax,0,0,67,34
5,5,f6,hnba,0,0,64,43
6,5,f5,hg,0,0,12,14
6,5,f5,hdiff,0,0,19,18
6,5,f5,hi,0,0,10,15
6,5,f5,hlength,0,0,18,14
6,5,f5,hmax,0,0,24,19
6,5,f5,hnba,0,0,19,17
6,5,f1,hg,0,0,10,11
6,5,f1,hdiff,0,0,10,11
6,5,f2,hg,0,0,20,16
6,5,f2,hdiff,0,0,15,12
6,5,f2,hi,0,0,10,11
6,5,f2,hlength,0,0,26,14
6,5,f2,hmax,0,0,24,26
6,5,f2,hnba,0,0,20,15
6,5,f4,hg,1,0,18,45
6,5,f4,hdiff,1,0,18,31
6,5,f4,hi,0,0,118,15
6,5,f4,hlength,1,0,54,108
6,5,f4,hmax,0,0,136,106
6,5,f4,hnba,0,0,267,210
6,5,f3,hg,0,0,41,23
6,5,f3,hdiff,0,0,58,31
6,5,f3,hi,1,0,14,20
6,5,f3,hlength,1,0,22,33
6,5,f3,hmax,1,0,64,80
6,5,f3,hnba,0,0,32,16
6,5,f6,hg,0,0,26,31
6,5,f6,hdiff,1,0,13,21
6,5,f6,hi,0,0,170,19
