node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,0,10,10
0,1,f5,hdiff,0,0,10,10
0,1,f5,hi,0,0,10,10
0,1,f5,hlength,0,0,10,10
0,1,f5,hmax,0,0,12,12
0,1,f5,hnba,0,0,11,11
0,1,f1,hg,0,0,9,9
0,1,f1,hdiff,0,0,9,9
0,1,f2,hg,0,0,12,12
0,1,f2,hdiff,0,0,12,12
0,1,f2,hi,0,0,15,14
0,1,f2,hlength,0,0,12,12
0,1,f2,hmax,0,0,25,25
0,1,f2,hnba,0,0,17,17
0,1,f4,hg,0,0,20,20
0,1,f4,hdiff,0,0,20,20
0,1,f4,hi,0,0,116,116
0,1,f4,hlength,0,0,47,47
0,1,f4,hmax,0,0,40,40
0,1,f4,hnba,0,0,47,47
0,1,f3,hg,0,0,28,28
0,1,f3,hdiff,0,0,20,20
0,1,f3,hi,0,0,22,22
0,1,f3,hlength,0,0,14,14
0,1,f3,hmax,0,0,32,32
0,1,f3,hnba,0,0,17,17
0,1,f6,hg,0,0,10,10
0,1,f6,hdiff,0,0,10,10
0,1,f6,hi,0,0,20,18
0,1,f6,hlength,0,0,18,18
0,1,f6,hmax,0,0,16,16
0,1,f6,hnba,0,0,14,14
1,1,f5,hg,0,0,10,10
1,1,f5,hdiff,0,0,10,10
1,1,f5,hi,0,0,10,10
1,1,f5,hlength,0,0,10,10
1,1,f5,hmax,0,0,12,12
1,1,f5,hnba,0,0,11,11
1,1,f1,hg,0,0,9,9
1,1,f1,hdiff,0,0,9,9
1,1,f2,hg,0,0,12,12
1,1,f2,hdiff,0,0,12,12
1,1,f2,hi,0,0,18,14
1,1,f2,hlength,0,0,12,12
1,1,f2,hmax,0,0,25,25
1,1,f2,hnba,0,0,17,17
1,1,f4,hg,0,0,20,20
1,1,f4,hdiff,0,0,20,20
1,1,f4,hi,0,0,116,116
1,1,f4,hlength,0,0,47,47
1,1,f4,hmax,0,0,40,40
1,1,f4,hnba,0,0,47,47
1,1,f3,hg,0,0,28,28
1,1,f3,hdiff,0,0,20,20
1,1,f3,hi,0,0,23,22
1,1,f3,hlength,0,0,14,14
1,1,f3,hmax,0,0,32,32
1,1,f3,hnba,0,0,17,17
1,1,f6,hg,0,0,10,10
1,1,f6,hdiff,0,0,10,10
1,1,f6,hi,0,0,20,18
1,1,f6,hlength,0,0,18,18
1,1,f6,hmax,0,0,16,16
1,1,f6,hnba,0,0,14,14
2,1,f5,hg,0,0,10,10
2,1,f5,hdiff,0,0,10,10
2,1,f5,hi,0,0,10,10
2,1,f5,hlength,0,0,10,10
2,1,f5,hmax,0,0,12,12
2,1,f5,hnba,0,0,11,11
2,1,f1,hg,0,0,9,9
2,1,f1,hdiff,0,0,9,9
2,1,f2,hg,0,0,12,12
2,1,f2,hdiff,0,0,12,12
2,1,f2,hi,0,0,20,14
2,1,f2,hlength,0,0,12,12
2,1,f2,hmax,0,0,25,25
2,1,f2,hnba,0,0,17,17
2,1,f4,hg,0,0,20,20
2,1,f4,hdiff,0,0,20,20
2,1,f4,hi,0,0,116,116
2,1,f4,hlength,0,0,47,47
2,1,f4,hmax,0,0,40,40
2,1,f4,hnba,0,0,47,47
2,1,f3,hg,0,0,28,28
2,1,f3,hdiff,0,0,20,20
2,1,f3,hi,1,0,12,22
2,1,f3,hlength,0,0,14,14
2,1,f3,hmax,0,0,32,32
2,1,f3,hnba,0,0,17,17
2,1,f6,hg,0,0,10,10
