node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,0,52,51
0,1,f5,hdiff,0,0,52,51
0,1,f5,hi,0,0,52,53
0,1,f5,hlength,1,0,54,57
0,1,f5,hmax,0,0,50,51
0,1,f5,hnba,0,0,52,53
0,1,f1,hg,0,0,50,51
0,1,f1,hdiff,0,0,50,51
0,1,f2,hg,0,0,50,51
0,1,f2,hdiff,0,0,50,51
0,1,f2,hi,0,0,52,53
0,1,f2,hlength,0,0,56,57
0,1,f2,hmax,0,0,50,51
0,1,f2,hnba,0,0,58,59
0,1,f4,hg,0,0,52,53
0,1,f4,hdiff,0,0,52,53
0,1,f4,hi,0,0,52,53
0,1,f4,hlength,0,0,52,53
0,1,f4,hmax,1,0,50,53
0,1,f4,hnba,0,0,52,53
0,1,f3,hg,0,0,56,57
0,1,f3,hdiff,0,0,56,57
0,1,f3,hi,0,0,54,55
0,1,f3,hlength,0,0,50,51
0,1,f3,hmax,0,0,56,57
0,1,f3,hnba,0,0,58,59
0,1,f6,hg,0,0,52,51
0,1,f6,hdiff,0,0,52,51
0,1,f6,hi,0,0,52,51
0,1,f6,hlength,0,0,50,51
0,1,f6,hmax,1,0,52,65
0,1,f6,hnba,1,0,52,55
1,2,f5,hg,0,0,49,51
1,2,f5,hdiff,0,0,49,51
1,2,f5,hi,0,0,51,53
1,2,f5,hlength,0,0,55,57
1,2,f5,hmax,0,0,49,51
1,2,f5,hnba,0,0,51,53
1,2,f1,hg,0,0,49,51
1,2,f1,hdiff,0,0,49,51
1,2,f2,hg,0,0,49,51
1,2,f2,hdiff,0,0,49,51
1,2,f2,hi,0,0,51,53
1,2,f2,hlength,0,0,55,57
1,2,f2,hmax,0,0,49,51
1,2,f2,hnba,0,0,57,59
1,2,f4,hg,0,0,51,53
1,2,f4,hdiff,0,0,51,53
1,2,f4,hi,0,0,51,53
1,2,f4,hlength,0,0,51,53
1,2,f4,hmax,1,0,49,53
1,2,f4,hnba,0,0,51,53
1,2,f3,hg,0,0,55,57
1,2,f3,hdiff,0,0,55,57
1,2,f3,hi,0,0,53,55
1,2,f3,hlength,0,0,49,51
1,2,f3,hmax,0,0,55,57
1,2,f3,hnba,0,0,57,59
1,2,f6,hg,0,0,49,51
1,2,f6,hdiff,0,0,49,51
1,2,f6,hi,0,0,69,51
1,2,f6,hlength,0,0,49,51
1,2,f6,hmax,1,0,51,65
1,2,f6,hnba,0,0,53,55
2,3,f5,hg,0,0,48,51
2,3,f5,hdiff,0,0,48,51
2,3,f5,hi,0,0,50,53
2,3,f5,hlength,1,0,52,57
2,3,f5,hmax,0,0,48,51
2,3,f5,hnba,0,0,62,53
2,3,f1,hg,0,0,48,51
2,3,f1,hdiff,0,0,48,51
2,3,f2,hg,0,0,56,51
2,3,f2,hdiff,0,0,56,51
2,3,f2,hi,0,0,50,53
2,3,f2,hlength,1,0,52,57
2,3,f2,hmax,0,0,48,51
2,3,f2,hnba,0,0,60,59
2,3,f4,hg,0,0,50,53
2,3,f4,hdiff,0,0,50,53
2,3,f4,hi,0,0,50,53
2,3,f4,hlength,0,0,50,53
2,3,f4,hmax,1,0,48,53
2,3,f4,hnba,0,0,50,53
2,3,f3,hg,1,0,52,57
2,3,f3,hdiff,1,0,52,57
2,3,f3,hi,0,0,52,55
2,3,f3,hlength,0,0,56,51
2,3,f3,hmax,0,0,54,57
2,3,f3,hnba,0,0,60,59
2,3,f6,hg,0,0,50,51
2,3,f6,hdiff,0,0,50,51
2,3,f6,hi,0,0,50,51
2,3,f6,hlength,0,0,48,51
2,3,f6,hmax,1,0,50,65
2,3,f6,hnba,1,0,50,55
3,4,f5,hg,0,0,53,51
3,4,f5,hdiff,0,0,53,51
3,4,f5,hi,1,0,47,53
3,4,f5,hlength,1,0,51,57
3,4,f5,hmax,0,0,47,51
3,4,f5,hnba,0,0,55,53
3,4,f1,hg,0,0,47,51
3,4,f1,hdiff,0,0,47,51
3,4,f2,hg,0,0,49,51
3,4,f2,hdiff,0,0,49,51
3,4,f2,hi,0,0,53,53
3,4,f2,hlength,1,0,51,57
3,4,f2,hmax,0,0,47,51
3,4,f2,hnba,0,0,57,59
3,4,f4,hg,0,0,49,53
3,4,f4,hdiff,0,0,49,53
3,4,f4,hi,0,0,49,53
3,4,f4,hlength,0,0,49,53
3,4,f4,hmax,0,0,49,53
3,4,f4,hnba,0,0,49,53
3,4,f3,hg,1,0,51,57
3,4,f3,hdiff,1,0,51,57
3,4,f3,hi,0,0,51,55
3,4,f3,hlength,0,0,49,51
3,4,f3,hmax,0,0,53,57
3,4,f3,hnba,0,0,57,59
3,4,f6,hg,0,0,49,51
3,4,f6,hdiff,0,0,49,51
3,4,f6,hi,0,0,63,51
3,4,f6,hlength,0,0,49,51
3,4,f6,hmax,1,0,49,65
3,4,f6,hnba,0,0,51,55
4,5,f5,hg,0,0,48,51
4,5,f5,hdiff,0,0,48,51
4,5,f5,hi,0,0,48,53
4,5,f5,hlength,0,0,52,57
4,5,f5,hmax,0,0,48,51
4,5,f5,hnba,0,0,58,53
4,5,f1,hg,0,0,48,51
4,5,f1,hdiff,0,0,48,51
4,5,f2,hg,0,0,50,51
4,5,f2,hdiff,0,0,50,51
4,5,f2,hi,0,0,52,53
4,5,f2,hlength,0,0,52,57
4,5,f2,hmax,0,0,48,51
4,5,f2,hnba,1,0,50,59
4,5,f4,hg,0,0,50,53
4,5,f4,hdiff,0,0,50,53
4,5,f4,hi,0,0,50,53
4,5,f4,hlength,0,0,50,53
4,5,f4,hmax,0,0,50,53
4,5,f4,hnba,0,0,50,53
4,5,f3,hg,0,0,52,57
4,5,f3,hdiff,0,0,52,57
4,5,f3,hi,0,0,52,55
4,5,f3,hlength,0,0,50,51
4,5,f3,hmax,0,0,52,57
4,5,f3,hnba,1,0,50,59
4,5,f6,hg,0,0,50,51
4,5,f6,hdiff,0,0,50,51
4,5,f6,hi,0,0,48,51
4,5,f6,hlength,0,0,48,51
4,5,f6,hmax,1,0,50,65
4,5,f6,hnba,0,0,50,55
5,5,f5,hg,0,0,48,51
5,5,f5,hdiff,0,0,48,51
5,5,f5,hi,1,0,46,53
5,5,f5,hlength,0,0,52,57
5,5,f5,hmax,0,0,46,51
5,5,f5,hnba,0,0,54,53
5,5,f1,hg,0,0,46,51
5,5,f1,hdiff,0,0,46,51
5,5,f2,hg,0,0,46,51
5,5,f2,hdiff,0,0,46,51
5,5,f2,hi,1,0,46,53
5,5,f2,hlength,1,0,50,57
5,5,f2,hmax,0,0,46,51
5,5,f2,hnba,0,0,56,59
5,5,f4,hg,0,0,48,53
5,5,f4,hdiff,0,0,48,53
5,5,f4,hi,0,0,48,53
5,5,f4,hlength,0,0,48,53
5,5,f4,hmax,0,0,48,53
5,5,f4,hnba,0,0,48,53
5,5,f3,hg,1,0,50,57
5,5,f3,hdiff,1,0,50,57
5,5,f3,hi,0,0,50,55
5,5,f3,hlength,0,0,46,51
5,5,f3,hmax,0,0,52,57
5,5,f3,hnba,0,0,56,59
5,5,f6,hg,0,0,48,51
5,5,f6,hdiff,0,0,48,51
5,5,f6,hi,0,0,48,51
5,5,f6,hlength,0,0,48,51
5,5,f6,hmax,1,0,48,65
5,5,f6,hnba,1,0,48,55
6,6,f5,hg,0,1,0,51
6,6,f5,hdiff,0,1,0,51
6,6,f5,hi,0,1,0,53
6,6,f5,hlength,0,1,0,57
6,6,f5,hmax,0,1,0,51
6,6,f5,hnba,0,1,0,53
6,6,f1,hg,0,1,0,51
6,6,f1,hdiff,0,1,0,51
6,6,f2,hg,0,1,0,51
6,6,f2,hdiff,0,1,0,51
6,6,f2,hi,0,1,0,53
6,6,f2,hlength,0,1,0,57
6,6,f2,hmax,0,1,0,51
6,6,f2,hnba,0,1,0,59
6,6,f4,hg,0,1,0,53
