node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,0,19,20
0,1,f5,hdiff,0,0,19,20
0,1,f5,hi,0,0,17,18
0,1,f5,hlength,0,0,19,18
0,1,f5,hmax,0,0,13,14
0,1,f5,hnba,0,0,19,18
0,1,f1,hg,0,0,19,20
0,1,f1,hdiff,0,0,19,20
0,1,f2,hg,0,0,19,20
0,1,f2,hdiff,0,0,19,20
0,1,f2,hi,0,0,17,16
0,1,f2,hlength,1,0,15,18
0,1,f2,hmax,0,0,13,14
0,1,f2,hnba,1,0,15,18
0,1,f4,hg,0,0,19,20
0,1,f4,hdiff,0,0,19,20
0,1,f4,hi,0,0,19,20
0,1,f4,hlength,0,0,19,20
0,1,f4,hmax,0,0,13,14
0,1,f4,hnba,0,0,19,20
0,1,f3,hg,1,0,15,18
0,1,f3,hdiff,1,0,15,18
0,1,f3,hi,0,0,15,16
0,1,f3,hlength,1,0,15,18
0,1,f3,hmax,0,0,19,18
0,1,f3,hnba,1,0,15,18
0,1,f6,hg,1,0,17,20
0,1,f6,hdiff,1,0,17,20
0,1,f6,hi,0,0,19,20
0,1,f6,hlength,1,0,17,20
0,1,f6,hmax,0,0,13,14
0,1,f6,hnba,1,0,17,20
1,2,f5,hg,0,0,18,20
1,2,f5,hdiff,0,0,18,20
1,2,f5,hi,0,0,16,18
1,2,f5,hlength,0,0,16,18
1,2,f5,hmax,0,0,12,14
1,2,f5,hnba,0,0,16,18
1,2,f1,hg,0,0,18,20
1,2,f1,hdiff,0,0,18,20
1,2,f2,hg,0,0,18,20
1,2,f2,hdiff,0,0,18,20
1,2,f2,hi,0,0,16,16
1,2,f2,hlength,0,0,16,18
1,2,f2,hmax,0,0,12,14
1,2,f2,hnba,0,0,16,18
1,2,f4,hg,0,0,18,20
1,2,f4,hdiff,0,0,18,20
1,2,f4,hi,0,0,18,20
1,2,f4,hlength,0,0,18,20
1,2,f4,hmax,0,0,12,14
1,2,f4,hnba,0,0,18,20
1,2,f3,hg,0,0,16,18
1,2,f3,hdiff,0,0,16,18
1,2,f3,hi,0,0,14,16
1,2,f3,hlength,0,0,16,18
1,2,f3,hmax,0,0,18,18
1,2,f3,hnba,0,0,16,18
1,2,f6,hg,0,0,18,20
1,2,f6,hdiff,0,0,18,20
1,2,f6,hi,0,0,18,20
1,2,f6,hlength,0,0,18,20
1,2,f6,hmax,0,0,12,14
1,2,f6,hnba,0,0,18,20
2,2,f5,hg,0,0,18,20
2,2,f5,hdiff,0,0,18,20
2,2,f5,hi,0,0,16,18
2,2,f5,hlength,0,0,18,18
2,2,f5,hmax,0,0,12,14
2,2,f5,hnba,0,0,18,18
2,2,f1,hg,0,0,18,20
2,2,f1,hdiff,0,0,18,20
2,2,f2,hg,0,0,18,20
2,2,f2,hdiff,0,0,18,20
2,2,f2,hi,0,0,18,16
2,2,f2,hlength,0,0,16,18
2,2,f2,hmax,0,0,12,14
2,2,f2,hnba,0,0,16,18
2,2,f4,hg,0,0,18,20
2,2,f4,hdiff,0,0,18,20
2,2,f4,hi,0,0,18,20
2,2,f4,hlength,0,0,18,20
2,2,f4,hmax,0,0,12,14
2,2,f4,hnba,0,0,18,20
2,2,f3,hg,1,0,14,18
2,2,f3,hdiff,1,0,14,18
2,2,f3,hi,0,0,14,16
2,2,f3,hlength,0,0,16,18
2,2,f3,hmax,0,0,16,18
2,2,f3,hnba,0,0,16,18
2,2,f6,hg,0,0,18,20
2,2,f6,hdiff,0,0,18,20
2,2,f6,hi,0,0,18,20
2,2,f6,hlength,0,0,18,20
2,2,f6,hmax,0,0,12,14
2,2,f6,hnba,0,0,18,20
3,2,f5,hg,0,0,18,20
3,2,f5,hdiff,0,0,18,20
3,2,f5,hi,0,0,16,18
3,2,f5,hlength,0,0,16,18
3,2,f5,hmax,0,0,12,14
3,2,f5,hnba,0,0,16,18
3,2,f1,hg,0,0,18,20
3,2,f1,hdiff,0,0,18,20
3,2,f2,hg,0,0,18,20
3,2,f2,hdiff,0,0,18,20
3,2,f2,hi,0,0,16,16
3,2,f2,hlength,0,0,16,18
3,2,f2,hmax,0,0,12,14
3,2,f2,hnba,0,0,16,18
3,2,f4,hg,0,0,18,20
3,2,f4,hdiff,0,0,18,20
3,2,f4,hi,0,0,18,20
3,2,f4,hlength,0,0,18,20
3,2,f4,hmax,0,0,12,14
3,2,f4,hnba,0,0,18,20
3,2,f3,hg,0,0,16,18
3,2,f3,hdiff,0,0,16,18
3,2,f3,hi,0,0,14,16
3,2,f3,hlength,0,0,16,18
3,2,f3,hmax,0,0,18,18
3,2,f3,hnba,0,0,16,18
3,2,f6,hg,0,0,18,20
3,2,f6,hdiff,0,0,18,20
3,2,f6,hi,0,0,18,20
3,2,f6,hlength,0,0,18,20
3,2,f6,hmax,0,0,12,14
3,2,f6,hnba,0,0,18,20
4,2,f5,hg,0,0,18,20
4,2,f5,hdiff,0,0,18,20
4,2,f5,hi,0,0,16,18
4,2,f5,hlength,0,0,16,18
4,2,f5,hmax,0,0,12,14
4,2,f5,hnba,0,0,16,18
4,2,f1,hg,0,0,18,20
4,2,f1,hdiff,0,0,18,20
4,2,f2,hg,0,0,18,20
4,2,f2,hdiff,0,0,18,20
4,2,f2,hi,0,0,16,16
4,2,f2,hlength,0,0,16,18
4,2,f2,hmax,0,0,12,14
4,2,f2,hnba,0,0,16,18
4,2,f4,hg,0,0,18,20
4,2,f4,hdiff,0,0,18,20
4,2,f4,hi,0,0,18,20
4,2,f4,hlength,0,0,18,20
4,2,f4,hmax,0,0,12,14
4,2,f4,hnba,0,0,18,20
4,2,f3,hg,1,0,14,18
4,2,f3,hdiff,1,0,14,18
4,2,f3,hi,0,0,14,16
4,2,f3,hlength,0,0,16,18
4,2,f3,hmax,0,0,16,18
4,2,f3,hnba,0,0,16,18
4,2,f6,hg,0,0,18,20
4,2,f6,hdiff,0,0,18,20
4,2,f6,hi,0,0,18,20
4,2,f6,hlength,0,0,18,20
4,2,f6,hmax,0,0,12,14
4,2,f6,hnba,0,0,18,20
5,3,f5,hg,0,0,19,20
5,3,f5,hdiff,0,0,19,20
5,3,f5,hi,0,0,15,18
5,3,f5,hlength,0,0,17,18
5,3,f5,hmax,0,0,13,14
5,3,f5,hnba,0,0,17,18
5,3,f1,hg,0,0,19,20
5,3,f1,hdiff,0,0,19,20
5,3,f2,hg,0,0,19,20
5,3,f2,hdiff,0,0,19,20
5,3,f2,hi,0,0,15,16
5,3,f2,hlength,0,0,17,18
5,3,f2,hmax,0,0,13,14
5,3,f2,hnba,0,0,17,18
5,3,f4,hg,0,0,19,20
5,3,f4,hdiff,0,0,19,20
5,3,f4,hi,0,0,19,20
5,3,f4,hlength,0,0,19,20
5,3,f4,hmax,0,0,13,14
5,3,f4,hnba,0,0,19,20
5,3,f3,hg,0,0,15,18
5,3,f3,hdiff,0,0,15,18
5,3,f3,hi,0,0,15,16
5,3,f3,hlength,0,0,17,18
5,3,f3,hmax,0,0,19,18
5,3,f3,hnba,0,0,17,18
5,3,f6,hg,0,0,19,20
5,3,f6,hdiff,0,0,19,20
5,3,f6,hi,0,0,19,20
5,3,f6,hlength,0,0,19,20
5,3,f6,hmax,0,0,13,14
5,3,f6,hnba,0,0,19,20
6,3,f5,hg,0,0,17,20
6,3,f5,hdiff,0,0,17,20
6,3,f5,hi,0,0,15,18
6,3,f5,hlength,1,0,13,18
6,3,f5,hmax,0,0,11,14
6,3,f5,hnba,1,0,13,18
6,3,f1,hg,0,0,17,20
6,3,f1,hdiff,0,0,17,20
6,3,f2,hg,0,0,17,20
6,3,f2,hdiff,0,0,17,20
6,3,f2,hi,0,0,13,16
6,3,f2,hlength,0,0,15,18
6,3,f2,hmax,0,0,11,14
6,3,f2,hnba,0,0,15,18
6,3,f4,hg,0,0,17,20
6,3,f4,hdiff,0,0,17,20
6,3,f4,hi,1,0,15,20
6,3,f4,hlength,0,0,17,20
6,3,f4,hmax,0,0,11,14
6,3,f4,hnba,0,0,17,20
6,3,f3,hg,1,0,13,18
6,3,f3,hdiff,1,0,13,18
6,3,f3,hi,0,0,17,16
6,3,f3,hlength,0,0,15,18
6,3,f3,hmax,0,0,15,18
6,3,f3,hnba,0,0,15,18
6,3,f6,hg,1,0,15,20
6,3,f6,hdiff,1,0,15,20
6,3,f6,hi,1,0,15,20
6,3,f6,hlength,1,0,15,20
6,3,f6,hmax,0,0,11,14
6,3,f6,hnba,1,0,15,20
7,3,f5,hg,0,0,17,20
7,3,f5,hdiff,0,0,17,20
7,3,f5,hi,0,0,15,18
7,3,f5,hlength,0,0,17,18
7,3,f5,hmax,0,0,11,14
7,3,f5,hnba,0,0,17,18
7,3,f1,hg,0,0,17,20
7,3,f1,hdiff,0,0,17,20
7,3,f2,hg,0,0,17,20
7,3,f2,hdiff,0,0,17,20
7,3,f2,hi,0,0,15,16
7,3,f2,hlength,0,0,15,18
7,3,f2,hmax,0,0,11,14
7,3,f2,hnba,0,0,15,18
7,3,f4,hg,0,0,17,20
7,3,f4,hdiff,0,0,17,20
7,3,f4,hi,0,0,17,20
7,3,f4,hlength,0,0,17,20
7,3,f4,hmax,0,0,11,14
7,3,f4,hnba,0,0,17,20
7,3,f3,hg,1,0,13,18
7,3,f3,hdiff,1,0,13,18
7,3,f3,hi,0,0,13,16
7,3,f3,hlength,0,0,15,18
7,3,f3,hmax,0,0,17,18
7,3,f3,hnba,0,0,15,18
7,3,f6,hg,0,0,17,20
7,3,f6,hdiff,0,0,17,20
7,3,f6,hi,0,0,17,20
