node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,0,10,10
0,1,f5,hdiff,0,0,10,10
0,1,f5,hi,0,0,11,12
0,1,f5,hlength,0,0,11,11
0,1,f5,hmax,0,0,6,6
0,1,f5,hnba,0,0,11,11
0,1,f1,hg,0,0,6,7
0,1,f1,hdiff,0,0,6,7
0,1,f2,hg,1,0,8,10
0,1,f2,hdiff,1,0,8,10
0,1,f2,hi,1,0,7,14
0,1,f2,hlength,1,0,13,15
0,1,f2,hmax,0,0,6,7
0,1,f2,hnba,1,0,13,15
0,1,f4,hg,0,0,20,17
0,1,f4,hdiff,0,0,20,17
0,1,f4,hi,1,0,41,61
0,1,f4,hlength,0,0,172,167
0,1,f4,hmax,0,0,10,11
0,1,f4,hnba,0,0,172,167
0,1,f3,hg,1,0,15,19
0,1,f3,hdiff,1,0,15,19
0,1,f3,hi,1,0,6,11
0,1,f3,hlength,1,0,13,15
0,1,f3,hmax,0,0,32,33
0,1,f3,hnba,1,0,13,15
0,1,f6,hg,1,0,12,19
0,1,f6,hdiff,1,0,16,20
0,1,f6,hi,1,0,23,79
0,1,f6,hlength,0,0,57,19
0,1,f6,hmax,1,0,6,12
0,1,f6,hnba,0,0,57,19
1,1,f5,hg,1,0,8,10
1,1,f5,hdiff,1,0,8,10
1,1,f5,hi,1,0,6,12
1,1,f5,hlength,0,0,13,11
1,1,f5,hmax,0,0,6,6
1,1,f5,hnba,0,0,13,11
1,1,f1,hg,0,0,8,7
1,1,f1,hdiff,0,0,8,7
1,1,f2,hg,1,0,8,10
1,1,f2,hdiff,1,0,8,10
1,1,f2,hi,1,0,8,14
1,1,f2,hlength,0,0,18,15
1,1,f2,hmax,0,0,8,7
1,1,f2,hnba,0,0,18,15
1,1,f4,hg,0,0,20,17
1,1,f4,hdiff,0,0,20,17
1,1,f4,hi,0,0,76,61
1,1,f4,hlength,0,0,172,167
1,1,f4,hmax,0,0,12,11
1,1,f4,hnba,0,0,172,167
1,1,f3,hg,0,0,31,19
1,1,f3,hdiff,0,0,31,19
1,1,f3,hi,1,0,8,11
1,1,f3,hlength,0,0,18,15
1,1,f3,hmax,1,0,30,33
1,1,f3,hnba,0,0,18,15
1,1,f6,hg,0,0,18,19
1,1,f6,hdiff,0,0,20,20
1,1,f6,hi,1,0,26,79
1,1,f6,hlength,0,0,59,19
1,1,f6,hmax,1,0,6,12
1,1,f6,hnba,0,0,59,19
2,1,f5,hg,1,0,8,10
2,1,f5,hdiff,1,0,8,10
2,1,f5,hi,0,0,14,12
2,1,f5,hlength,0,0,13,11
2,1,f5,hmax,0,0,6,6
2,1,f5,hnba,0,0,13,11
2,1,f1,hg,0,0,8,7
2,1,f1,hdiff,0,0,8,7
2,1,f2,hg,1,0,8,10
2,1,f2,hdiff,1,0,8,10
2,1,f2,hi,0,0,18,14
2,1,f2,hlength,0,0,20,15
2,1,f2,hmax,0,0,8,7
2,1,f2,hnba,0,0,20,15
2,1,f4,hg,0,0,20,17
2,1,f4,hdiff,0,0,20,17
2,1,f4,hi,0,0,98,61
2,1,f4,hlength,1,0,152,167
2,1,f4,hmax,0,0,12,11
2,1,f4,hnba,1,0,152,167
2,1,f3,hg,0,0,22,19
2,1,f3,hdiff,0,0,22,19
2,1,f3,hi,0,0,12,11
2,1,f3,hlength,0,0,20,15
2,1,f3,hmax,1,0,26,33
2,1,f3,hnba,0,0,20,15
2,1,f6,hg,0,0,18,19
