node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,0,5,4
0,1,f5,hdiff,0,0,7,6
0,1,f5,hi,0,0,5,5
0,1,f5,hlength,0,0,5,4
0,1,f5,hmax,0,0,5,4
0,1,f5,hnba,1,0,5,8
0,1,f1,hg,0,0,5,4
0,1,f1,hdiff,0,0,5,4
0,1,f2,hg,0,0,5,4
0,1,f2,hdiff,0,0,7,6
0,1,f2,hi,0,0,5,5
0,1,f2,hlength,0,0,5,4
0,1,f2,hmax,0,0,5,4
0,1,f2,hnba,0,0,5,6
0,1,f4,hg,1,0,5,10
0,1,f4,hdiff,1,0,5,10
0,1,f4,hi,0,0,11,10
0,1,f4,hlength,0,0,11,12
0,1,f4,hmax,0,0,7,8
0,1,f4,hnba,0,0,5,6
0,1,f3,hg,0,0,9,10
0,1,f3,hdiff,0,0,5,6
0,1,f3,hi,0,0,7,6
0,1,f3,hlength,0,0,7,5
0,1,f3,hmax,1,0,7,11
0,1,f3,hnba,0,0,5,6
0,1,f6,hg,1,0,5,10
0,1,f6,hdiff,0,0,5,6
0,1,f6,hi,0,0,11,10
0,1,f6,hlength,1,0,5,10
0,1,f6,hmax,0,0,5,4
0,1,f6,hnba,0,0,5,6
1,1,f5,hg,0,0,5,4
1,1,f5,hdiff,0,0,5,6
1,1,f5,hi,0,0,5,5
1,1,f5,hlength,0,0,5,4
1,1,f5,hmax,0,0,5,4
1,1,f5,hnba,1,0,5,8
1,1,f1,hg,0,0,5,4
1,1,f1,hdiff,0,0,5,4
1,1,f2,hg,0,0,5,4
1,1,f2,hdiff,0,0,5,6
1,1,f2,hi,0,0,5,5
1,1,f2,hlength,0,0,5,4
1,1,f2,hmax,0,0,5,4
1,1,f2,hnba,0,0,5,6
1,1,f4,hg,1,0,5,10
1,1,f4,hdiff,1,0,5,10
1,1,f4,hi,1,0,5,10
1,1,f4,hlength,1,0,5,12
1,1,f4,hmax,1,0,5,8
1,1,f4,hnba,0,0,5,6
1,1,f3,hg,1,0,5,10
1,1,f3,hdiff,0,0,5,6
1,1,f3,hi,0,0,5,6
1,1,f3,hlength,0,0,5,5
1,1,f3,hmax,1,0,5,11
1,1,f3,hnba,0,0,5,6
1,1,f6,hg,1,0,5,10
1,1,f6,hdiff,0,0,5,6
1,1,f6,hi,1,0,5,10
1,1,f6,hlength,1,0,5,10
1,1,f6,hmax,0,0,5,4
1,1,f6,hnba,0,0,5,6
2,1,f5,hg,0,0,3,4
2,1,f5,hdiff,0,0,5,6
2,1,f5,hi,1,0,3,5
2,1,f5,hlength,0,0,3,4
2,1,f5,hmax,0,0,3,4
2,1,f5,hnba,1,0,5,8
2,1,f1,hg,0,0,3,4
2,1,f1,hdiff,0,0,3,4
2,1,f2,hg,0,0,3,4
2,1,f2,hdiff,0,0,8,6
2,1,f2,hi,1,0,3,5
2,1,f2,hlength,0,0,3,4
2,1,f2,hmax,0,0,3,4
2,1,f2,hnba,0,0,8,6
2,1,f4,hg,0,0,9,10
2,1,f4,hdiff,0,0,9,10
2,1,f4,hi,0,0,13,10
2,1,f4,hlength,1,0,9,12
2,1,f4,hmax,1,0,3,8
2,1,f4,hnba,0,0,9,6
2,1,f3,hg,0,0,10,10
2,1,f3,hdiff,0,0,8,6
2,1,f3,hi,1,0,3,6
2,1,f3,hlength,0,0,4,5
2,1,f3,hmax,1,0,9,11
2,1,f3,hnba,0,0,8,6
2,1,f6,hg,1,0,3,10
2,1,f6,hdiff,0,0,9,6
2,1,f6,hi,0,0,9,10
2,1,f6,hlength,1,0,3,10
2,1,f6,hmax,0,0,3,4
2,1,f6,hnba,0,0,9,6
3,2,f5,hg,0,0,4,4
3,2,f5,hdiff,0,0,4,6
3,2,f5,hi,0,0,4,5
3,2,f5,hlength,0,0,4,4
3,2,f5,hmax,0,0,4,4
