planner,problem,generator,node_cost,failure,error,result,source_result
f5_hi,airport06,bfs,1,1,0,40,43
f5_hi,airport06,bfs,1,1,0,40,43
f5_hi,airport06,bfs,1,0,1,0,43
f5_hi,airport06,bfs,1,0,1,0,43
f5_hi,airport06,bfs,2,1,0,39,43
f5_hi,airport06,bfs,2,0,0,41,43
f5_hi,airport06,bfs,2,0,1,0,43
f5_hi,airport06,bfs,2,0,1,0,43
f5_hi,airport06,bfs,2,1,0,39,43
f5_hi,airport06,bfs,2,0,1,0,43
f5_hlength,airport06,bfs,1,0,0,40,41
f5_hlength,airport06,bfs,1,0,0,40,41
f5_hlength,airport06,bfs,1,0,1,0,41
f5_hlength,airport06,bfs,1,0,1,0,41
f5_hlength,airport06,bfs,2,0,0,39,41
f5_hlength,airport06,bfs,2,0,0,39,41
f5_hlength,airport06,bfs,2,0,1,0,41
f5_hlength,airport06,bfs,2,0,1,0,41
f5_hlength,airport06,bfs,2,0,0,39,41
f5_hlength,airport06,bfs,2,0,1,0,41
f5_hnba,airport06,bfs,1,0,0,40,41
f5_hnba,airport06,bfs,1,0,0,40,41
f5_hnba,airport06,bfs,1,0,1,0,41
f5_hnba,airport06,bfs,1,0,1,0,41
f5_hnba,airport06,bfs,2,0,0,39,41
f5_hnba,airport06,bfs,2,0,0,39,41
f5_hnba,airport06,bfs,2,0,1,0,41
f5_hnba,airport06,bfs,2,0,1,0,41
f5_hnba,airport06,bfs,2,0,0,41,41
f5_hnba,airport06,bfs,2,0,1,0,41
f2_hdiff,airport06,bfs,1,0,0,40,41
f2_hdiff,airport06,bfs,1,0,0,42,41
f2_hdiff,airport06,bfs,1,0,1,0,41
f2_hdiff,airport06,bfs,1,0,1,0,41
f2_hdiff,airport06,bfs,2,0,0,39,41
f2_hdiff,airport06,bfs,2,0,0,41,41
f2_hdiff,airport06,bfs,2,0,1,0,41
f2_hdiff,airport06,bfs,2,0,1,0,41
f2_hdiff,airport06,bfs,2,0,0,41,41
f2_hdiff,airport06,bfs,2,0,1,0,41
f2_hlength,airport06,bfs,1,0,0,42,43
f2_hlength,airport06,bfs,1,1,0,40,43
f2_hlength,airport06,bfs,1,0,1,0,43
f2_hlength,airport06,bfs,1,0,1,0,43
f2_hlength,airport06,bfs,2,0,0,41,43
f2_hlength,airport06,bfs,2,1,0,39,43
f2_hlength,airport06,bfs,2,0,1,0,43
f2_hlength,airport06,bfs,2,0,1,0,43
f2_hlength,airport06,bfs,2,0,0,41,43
f2_hlength,airport06,bfs,2,0,1,0,43
f2_hnba,airport06,bfs,1,0,0,42,43
f2_hnba,airport06,bfs,1,1,0,40,43
f2_hnba,airport06,bfs,1,0,1,0,43
f2_hnba,airport06,bfs,1,0,1,0,43
f2_hnba,airport06,bfs,2,0,0,41,43
f2_hnba,airport06,bfs,2,0,0,41,43
f2_hnba,airport06,bfs,2,0,1,0,43
f2_hnba,airport06,bfs,2,0,1,0,43
f2_hnba,airport06,bfs,2,0,0,41,43
f2_hnba,airport06,bfs,2,0,1,0,43
f4_hg,airport06,bfs,1,0,0,42,43
f4_hg,airport06,bfs,1,0,0,42,43
f4_hg,airport06,bfs,1,0,1,0,43
f4_hg,airport06,bfs,1,0,1,0,43
f4_hg,airport06,bfs,2,0,0,41,43
f4_hg,airport06,bfs,2,0,0,41,43
f4_hg,airport06,bfs,2,0,1,0,43
f4_hg,airport06,bfs,2,0,1,0,43
f4_hg,airport06,bfs,2,0,0,41,43
f4_hg,airport06,bfs,2,0,1,0,43
f4_hdiff,airport06,bfs,1,0,0,42,43
f4_hdiff,airport06,bfs,1,0,0,42,43
f4_hdiff,airport06,bfs,1,0,1,0,43
f4_hdiff,airport06,bfs,1,0,1,0,43
f4_hdiff,airport06,bfs,2,0,0,41,43
f4_hdiff,airport06,bfs,2,0,0,41,43
f4_hdiff,airport06,bfs,2,0,1,0,43
f4_hdiff,airport06,bfs,2,0,1,0,43
f4_hdiff,airport06,bfs,2,0,0,41,43
f4_hdiff,airport06,bfs,2,0,1,0,43
f4_hi,airport06,bfs,1,0,0,42,43
f4_hi,airport06,bfs,1,0,0,42,43
f4_hi,airport06,bfs,1,0,1,0,43
f4_hi,airport06,bfs,1,0,1,0,43
f4_hi,airport06,bfs,2,0,0,41,43
f4_hi,airport06,bfs,2,0,0,41,43
f4_hi,airport06,bfs,2,0,1,0,43
f4_hi,airport06,bfs,2,0,1,0,43
f4_hi,airport06,bfs,2,1,0,39,43
f4_hi,airport06,bfs,2,0,1,0,43
f4_hlength,airport06,bfs,1,0,0,42,43
f4_hlength,airport06,bfs,1,0,0,42,43
f4_hlength,airport06,bfs,1,0,1,0,43
f4_hlength,airport06,bfs,1,0,1,0,43
f4_hlength,airport06,bfs,2,0,0,41,43
f4_hlength,airport06,bfs,2,0,0,41,43
f4_hlength,airport06,bfs,2,0,1,0,43
f4_hlength,airport06,bfs,2,0,1,0,43
f4_hlength,airport06,bfs,2,0,0,41,43
f4_hlength,airport06,bfs,2,0,1,0,43
f4_hmax,airport06,bfs,1,0,0,42,43
f4_hmax,airport06,bfs,1,0,0,42,43
f4_hmax,airport06,bfs,1,0,1,0,43
f4_hmax,airport06,bfs,1,0,1,0,43
f4_hmax,airport06,bfs,2,0,0,41,43
f4_hmax,airport06,bfs,2,0,0,41,43
f4_hmax,airport06,bfs,2,0,1,0,43
f4_hmax,airport06,bfs,2,0,1,0,43
f4_hmax,airport06,bfs,2,1,0,39,43
f4_hmax,airport06,bfs,2,0,1,0,43
f4_hnba,airport06,bfs,1,0,0,42,43
f4_hnba,airport06,bfs,1,0,0,42,43
f4_hnba,airport06,bfs,1,0,1,0,43
f4_hnba,airport06,bfs,1,0,1,0,43
f4_hnba,airport06,bfs,2,0,0,41,43
f4_hnba,airport06,bfs,2,0,0,41,43
f4_hnba,airport06,bfs,2,0,1,0,43
f4_hnba,airport06,bfs,2,0,1,0,43
f4_hnba,airport06,bfs,2,0,0,41,43
f4_hnba,airport06,bfs,2,0,1,0,43
f3_hg,airport06,bfs,1,1,0,40,43
f3_hg,airport06,bfs,1,0,0,42,43
f3_hg,airport06,bfs,1,0,1,0,43
f3_hg,airport06,bfs,1,0,1,0,43
f3_hg,airport06,bfs,2,0,0,41,43
f3_hg,airport06,bfs,2,0,0,41,43
f3_hg,airport06,bfs,2,0,1,0,43
f3_hg,airport06,bfs,2,0,1,0,43
f3_hg,airport06,bfs,2,0,0,41,43
f3_hg,airport06,bfs,2,0,1,0,43
f3_hdiff,airport06,bfs,1,0,0,42,43
f3_hdiff,airport06,bfs,1,0,0,42,43
f3_hdiff,airport06,bfs,1,0,1,0,43
f3_hdiff,airport06,bfs,1,0,1,0,43
f3_hdiff,airport06,bfs,2,1,0,39,43
f3_hdiff,airport06,bfs,2,0,0,41,43
f3_hdiff,airport06,bfs,2,0,1,0,43
f3_hdiff,airport06,bfs,2,0,1,0,43
f3_hdiff,airport06,bfs,2,0,0,41,43
f3_hdiff,airport06,bfs,2,0,1,0,43
f3_hi,airport06,bfs,1,0,0,40,41
f3_hi,airport06,bfs,1,0,0,40,41
f3_hi,airport06,bfs,1,0,1,0,41
f3_hi,airport06,bfs,1,0,1,0,41
f3_hi,airport06,bfs,2,0,0,39,41
f3_hi,airport06,bfs,2,0,0,39,41
f3_hi,airport06,bfs,2,0,1,0,41
f3_hi,airport06,bfs,2,0,1,0,41
f3_hi,airport06,bfs,2,0,0,41,41
f3_hi,airport06,bfs,2,0,1,0,41
f3_hlength,airport06,bfs,1,0,0,42,43
f3_hlength,airport06,bfs,1,0,0,42,43
f3_hlength,airport06,bfs,1,0,1,0,43
f3_hlength,airport06,bfs,1,0,1,0,43
f3_hlength,airport06,bfs,2,1,0,39,43
f3_hlength,airport06,bfs,2,0,0,41,43
f3_hlength,airport06,bfs,2,0,1,0,43
f3_hlength,airport06,bfs,2,0,1,0,43
f3_hlength,airport06,bfs,2,0,0,41,43
f3_hlength,airport06,bfs,2,0,1,0,43
f3_hmax,airport06,bfs,1,1,0,40,43
f3_hmax,airport06,bfs,1,0,0,42,43
f3_hmax,airport06,bfs,1,0,1,0,43
f3_hmax,airport06,bfs,1,0,1,0,43
f3_hmax,airport06,bfs,2,0,0,41,43
f3_hmax,airport06,bfs,2,0,0,41,43
f3_hmax,airport06,bfs,2,0,1,0,43
f3_hmax,airport06,bfs,2,0,1,0,43
f3_hmax,airport06,bfs,2,1,0,39,43
f3_hmax,airport06,bfs,2,0,1,0,43
f3_hnba,airport06,bfs,1,1,0,40,43
f3_hnba,airport06,bfs,1,0,0,42,43
f3_hnba,airport06,bfs,1,0,1,0,43
f3_hnba,airport06,bfs,1,0,1,0,43
f3_hnba,airport06,bfs,2,1,0,39,43
f3_hnba,airport06,bfs,2,0,0,41,43
f3_hnba,airport06,bfs,2,0,1,0,43
f3_hnba,airport06,bfs,2,0,1,0,43
f3_hnba,airport06,bfs,2,0,0,41,43
f3_hnba,airport06,bfs,2,0,1,0,43
f6_hg,airport06,bfs,1,0,0,42,43
f6_hg,airport06,bfs,1,0,0,42,43
f6_hg,airport06,bfs,1,0,1,0,43
f6_hg,airport06,bfs,1,0,1,0,43
f6_hg,airport06,bfs,2,0,0,41,43
